timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description,wdominant,long_dsc,lat_dsc,dsc,long_tsc,lat_tsc,tsc,risk_score
1,30755,Front-right,13.61,-4.34,9.11,-2.73,1.25,-2.03,0.05,1.37,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,3,4.0,5,5,5.0,4
1,30756,Rear-left,-12.11,1.84,-7.6,0.23,-1.78,-1.29,-1.56,-1.93,inf,0.18,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,0,2.5,5,1,3.0,2
1,30759,Front-right,8.09,-19.15,3.59,-17.54,-6.49,-9.67,1.06,2.24,0.55,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,4,5,4.5,1,5,3.0,3
1,30762,Right,0.02,-5.57,0.0,-3.96,-2.42,1.81,0.34,3.6,0.0,2.18,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,3,3.0,3
1,30763,Rear-right,-9.29,-11.64,-4.78,-10.03,-3.85,2.64,0.46,2.46,inf,3.79,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,4,5,4.5,5,4,4.5,4
1,30764,Rear-right,-17.66,-18.41,-13.15,-16.8,-4.39,2.25,-0.06,3.51,inf,7.46,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
1,30768,Rear-left,-22.7,4.4,-18.19,2.79,-2.43,-1.17,1.0,3.28,inf,2.4,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,3,4.0,4
2,30755,Front-right,13.58,-4.95,9.08,-3.34,1.76,-2.27,0.71,3.34,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,4,4.5,5,5,5.0,4
2,30756,Rear-left,-12.29,2.05,-7.78,0.44,-1.71,-1.32,-1.47,-1.11,inf,0.33,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,1,3.0,5,1,3.0,3
2,30759,Front-right,6.84,-20.34,2.33,-18.73,-6.28,-9.67,0.16,3.22,0.37,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,3,5,4.0,1,5,3.0,3
2,30762,Right,-0.39,-5.4,0.0,-3.79,-1.62,1.64,0.38,5.01,0.0,2.31,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,3,3.0,3
2,30763,Rear-right,-10.0,-11.11,-5.49,-9.5,-3.0,2.68,-0.62,5.73,inf,3.55,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
2,30764,Rear-right,-18.63,-17.68,-14.12,-16.07,-3.67,2.24,-0.29,4.98,inf,7.16,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
2,30768,Rear-left,-22.85,4.92,-18.34,3.31,-2.12,-1.24,-0.58,0.75,inf,2.67,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,4,4.5,5,3,4.0,4
3,30755,Front-right,13.5,-5.8,8.99,-4.19,2.08,-2.65,0.6,2.71,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,4,4.5,5,5,5.0,4
3,30756,Rear-left,-12.43,2.44,-7.92,0.83,-1.84,-1.38,-1.76,-2.09,inf,0.6,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,2,3.5,5,1,3.0,3
3,30759,Front-right,5.25,-21.58,0.74,-19.97,-6.38,-9.7,1.02,2.05,0.12,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,1,5,3.0,0,5,2.5,2
3,30762,Right,-0.8,-5.26,0.0,-3.65,-0.99,1.29,0.22,3.37,0.0,2.84,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,3,3.0,3
3,30763,Rear-right,-10.78,-10.4,-6.27,-8.79,-2.28,2.65,-0.82,4.58,inf,3.31,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
3,30764,Rear-right,-19.75,-16.64,-15.24,-15.03,-3.04,2.22,-0.48,3.8,inf,6.77,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
3,30768,Rear-left,-22.88,5.77,-18.37,4.16,-1.98,-1.37,-0.44,0.63,inf,3.03,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,4,4.5,5,4,4.5,4
4,30755,Front-right,13.47,-6.54,8.96,-4.93,2.44,-2.91,-0.01,1.98,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,4,4.5,5,5,5.0,4
4,30756,Rear-left,-12.58,2.71,-8.08,1.1,-1.85,-1.37,-1.78,-1.63,inf,0.8,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,2,3.5,5,2,3.5,3
4,30759,Right,3.83,-22.71,0.0,-21.1,-6.26,-9.67,0.15,2.65,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
4,30762,Right,-1.08,-5.13,0.0,-3.52,-0.25,0.97,0.2,4.46,0.0,3.63,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,4,4.0,4
4,30763,Rear-right,-11.34,-9.78,-6.83,-8.17,-1.54,2.61,-0.34,4.0,inf,3.12,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
4,30764,Rear-right,-20.6,-15.76,-16.09,-14.15,-2.38,2.18,-0.13,3.51,inf,6.49,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
