obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,distance
30755,1,8.6024,-168.3873,1.1121,8.6593,-1.065,1345,14.28835786400941
30756,1,-3.0846,-192.1221,1.1148,5.5429,-4.7398,597,12.249247732411979
30759,1,21.8324,-177.0302,-0.1515,9.6944,0.5444,319,20.78377887969365
30762,1,6.8094,-181.921,1.57,8.0,4.0,1274,5.56396257356212
30763,1,10.682,-192.3372,2.0219,4.2396,0.1533,1270,14.888014253082918
30764,1,15.4498,-201.9916,2.0304,3.5769,1.32,495,25.509447524397714
30768,1,-7.9173,-201.8897,1.1075,4.8767,1.0669,1340,23.125391759276223
30755,2,8.986,-167.6104,1.1121,8.67,0.2141,1345,14.454381128571374
30756,2,-2.8563,-191.6565,1.115,5.0689,-4.7398,597,12.460674402695854
30759,2,22.7881,-177.1846,-0.1601,9.6731,-0.4605,319,21.442759184396024
30762,2,6.75,-181.3,1.6,14.0,4.0,1274,5.38094411511586
30763,2,10.4926,-191.9405,2.0163,4.4915,2.8701,1270,14.935180101357982
30764,2,15.2883,-201.6653,2.0304,3.6919,2.0485,495,25.67020289849692
30768,2,-7.7065,-201.4676,1.1076,4.6527,-2.6711,1340,23.376399320682385
30755,3,9.3709,-166.8308,1.1121,8.7106,0.6087,1345,14.677464365482205
30756,3,-2.6489,-191.2333,1.1151,4.5949,-4.7398,597,12.671320717667916
30759,3,23.7429,-177.3449,-0.1664,9.7007,0.6984,319,22.180143246832287
30762,3,6.5,-180.5,1.63,20.0,3.5,1274,4.992708187947698
30763,3,10.2921,-191.5178,2.0136,4.7515,2.6795,1270,14.954036407605797
30764,3,15.1184,-201.322,2.0304,3.876,1.8234,495,25.802313620487595
30768,3,-7.5054,-201.0649,1.1076,4.4592,-1.7111,1340,23.599701145989105
30755,4,9.756,-166.0509,1.1121,8.6809,-0.7203,1345,14.955335960786694
30756,4,-2.4625,-190.8527,1.1152,4.1209,-4.7398,597,12.880724094941247
30759,4,24.6978,-177.5097,-0.1709,9.6872,-0.1595,319,22.986368376496536
30762,4,6.1,-179.8,1.67,24.0,3.0,1274,4.501187515534098
30763,4,10.0831,-191.0748,2.0115,4.9404,1.5192,497,14.942872875053187
30764,4,14.942,-200.9655,2.0304,4.0018,0.989,495,25.904286859514194
30768,4,-7.3139,-200.6813,1.1077,4.2157,-2.9152,1340,23.794399379055562
30755,5,10.142,-165.2721,1.1106,8.6743,-0.7882,1345,15.279180266297011
30756,5,-2.2969,-190.5146,1.1153,3.6469,-4.7398,597,13.094492464009443
30759,5,25.6524,-177.6777,-0.1741,9.7084,0.5891,319,23.84192990531597
30762,5,5.7,-179.0,1.7,28.0,2.5,1274,3.9930331353496187
30763,5,9.8667,-190.6139,2.0097,5.1666,2.8099,499,14.896093416731787
30764,5,14.7594,-200.5968,2.0304,4.1595,1.8105,495,25.971093283495023
30768,5,-7.361,-200.7757,1.1077,4.0151,-2.6329,1340,24.47811820728873
30755,6,10.5276,-164.496,1.1097,8.6862,0.677,1345,15.658729645153198
30756,6,-2.1522,-190.2191,1.1154,3.173,-4.7398,597,13.301767049907317
30759,6,26.6068,-177.8479,-0.1764,9.6967,0.0773,319,24.749256609643854
30762,6,5.3,-178.2,1.73,32.0,2.0,1274,3.503856038709352
30763,6,9.6613,-190.1745,2.0082,4.7474,-4.2598,499,14.852005658496093
30764,6,14.5725,-200.2191,2.0304,4.1587,-2.204,495,26.00214681060008
30768,6,-7.2783,-200.6107,1.1062,3.8182,-1.8421,1340,24.817511253951324
30755,7,10.9144,-163.7178,1.1094,8.6917,-0.0678,1345,16.086624091150988
30756,7,-2.0282,-189.966,1.1154,2.6996,-4.7398,597,13.512778969923268
30759,7,27.5617,-178.0198,-0.1781,9.6965,-0.2524,319,25.693157063311624
30762,7,5.0,-177.5,1.75,31.0,0.0,1274,3.1473393922486355
30763,7,9.473,-189.7709,2.0071,4.351,-4.2598,499,14.825447941293397
30764,7,14.3917,-199.8539,2.0303,4.0469,-1.094,495,26.022077058720757
30768,7,-7.1144,-200.2829,1.1071,3.595,-2.7863,1340,24.931747905431763
30755,8,11.302,-162.9384,1.1093,8.7167,0.3695,522,16.562632028756784
30756,8,-1.9252,-189.7555,1.1155,2.2256,-4.7398,597,13.736585231053613
30759,8,28.5136,-178.1925,-0.1793,9.6456,-1.1655,319,26.692536467896787
30762,8,4.7,-176.8,1.77,30.0,-1.5,1274,2.8392770136075147
30763,8,9.3027,-189.405,2.0063,3.9401,-3.9586,499,14.844945964536212
30764,8,14.2183,-199.5033,2.0303,3.8706,-1.5739,495,26.059860132011448
30768,8,-6.9596,-199.9727,1.1078,3.414,-2.1092,1340,25.028425253898817
30755,9,11.69,-162.1592,1.1088,8.7178,0.4342,522,17.080230227078324
30756,9,-1.843,-189.5876,1.1158,1.7517,-4.7398,597,13.975880589429783
30759,9,29.4673,-178.3663,-0.1802,9.692,-0.0829,319,27.73695104963774
30762,9,4.4,-176.2,1.8,28.0,-2.0,1274,2.5788970917816783
30763,9,9.1499,-189.076,2.0056,3.5349,-3.8427,499,14.900721244959914
30764,9,14.0514,-199.166,2.0302,3.7304,-1.2823,495,26.10600273059818
30768,9,-6.8142,-199.6809,1.1084,3.2115,-1.9576,1340,25.111913345661264
30755,10,12.0787,-161.3788,1.1086,8.7158,0.1717,522,17.611545659027186
30756,10,-1.7817,-189.4622,1.1159,1.2777,-4.7398,597,14.247361861762345
30759,10,30.4194,-178.5404,-0.1808,9.6568,-0.8952,319,28.77887484683861
30762,10,4.1,-175.5,1.82,26.0,-2.5,1274,2.321907519691513
30763,10,9.0147,-188.7845,2.0051,3.1089,-4.2598,499,14.977143675948378
30764,10,13.892,-198.8438,2.0302,3.5741,-0.8004,495,26.147707759763566
30768,10,-6.677,-199.4054,1.1089,3.0381,-1.5887,1340,25.200036147791533
30755,11,12.4662,-160.6007,1.1087,8.6662,-0.4839,522,18.146677596188233
30756,11,-1.7412,-189.3793,1.116,0.8041,-4.7322,597,14.553839856890017
30759,11,31.3706,-178.7148,-0.1813,9.6863,0.6341,319,29.81177755938079
30762,11,3.9,-174.7,1.84,24.0,-3.0,1274,2.209812039518293
30763,11,8.898,-188.5315,2.003,2.683,-4.2598,499,15.075226980049097
30764,11,13.741,-198.5386,2.0302,3.3614,-1.6851,495,26.18685829972738
30768,11,-6.5487,-199.1474,1.1093,2.8432,-1.5189,1340,25.297927899335964
