Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,PredictedCollisionObstacle,PredictedCollisionID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,AnnotatedIDIsPredictedCollision,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,[],[],,,,False,False,False,False,False,True
BEL_Antwerp-10_7_T-1,30736,[],[],,,,False,False,False,False,False,True
BEL_Antwerp-13_5_T-1,30674,[],[],,,,False,False,False,False,False,True
BEL_Brussels-51_2_T-1,30196,[],[],,,,False,False,False,False,False,True
BEL_Brussels-82_4_T-1,30233,[],[],,,,False,False,False,False,False,True
BEL_Zwevegem-1_6_T-1,333,[],[],,,,False,False,False,False,False,True
CHN_Beijing-3_5_T-1,3107,[],[],,,,False,False,False,False,False,True
CHN_Qingdao-18_2_T-1,30655,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-21_21_T-1,30285,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],,,,False,False,False,False,False,True
DEU_Backnang-2_1_T-1,33,[],[],,,,False,False,False,False,False,True
DEU_Bonn-19_2_T-1,30202,[],[],30202,,,False,False,True,False,True,True
DEU_Bonn-35_11_T-1,30200,[],[],,,,False,False,False,False,False,True
DEU_Bonn-38_18_T-1,30234,[],[],,,,False,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,[],[],,,,False,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,[],[],,,,False,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,[],[],,,,False,False,False,False,False,True
DEU_Bremen-7_12_T-1,30299,[],[],,,,False,False,False,False,False,True
DEU_Bremen-7_23_T-1,30306,[],[],,,,False,False,False,False,False,True
DEU_Flensburg-62_1_T-1,367,[],[],367,,,False,False,True,False,True,True
DEU_Guetersloh-32_1_T-1,33,[],[],,,,False,False,False,False,False,True
DEU_Hanover-38_33_T-1,30688,[],[],,,,False,False,False,False,False,True
DEU_Hanover-44_28_T-1,30730,[],[],,,,False,False,False,False,False,True
DEU_Hanover-45_17_T-1,30700,[],[],,,,False,False,False,False,False,True
DEU_Hennigsdorf-5_3_T-1,342,[],[],,,,False,False,False,False,False,True
DEU_Kiel-52_2_T-1,30666,[],[],,,,False,False,False,False,False,True
DEU_Leipzig-13_19_T-1,3254,[],[],,,,False,False,False,False,False,True
DEU_Leipzig-13_7_T-1,3254,[],[],,,,False,False,False,False,False,True
DEU_Leipzig-37_8_T-1,3074,[],[],,,,False,False,False,False,False,True
DEU_Leipzig-63_24_T-1,3261,[],[],,,,False,False,False,False,False,True
DEU_Lengede-44_1_T-6,109,[],[],,,,False,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,[],[],,,,False,False,False,False,False,True
DEU_Memmingen-1_1_T-5,20052,[],[],,,,False,False,False,False,False,True
DEU_Muehlhausen-10_5_T-1,315,[],[],,,,False,False,False,False,False,True
DEU_Muehlhausen-5_1_T-1,330,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-24_13_T-1,30716,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-27_1_T-1,30628,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-29_9_T-1,30786,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-30_6_T-1,30604,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-6_21_T-1,30803,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-6_34_T-1,30796,[],[],,,,False,False,False,False,False,True
DEU_Salzwedel-74_1_T-4,20071,[],[],,,,False,False,False,False,False,True
DEU_Salzwedel-80_1_T-2,20029,[],[],,,,False,False,False,False,False,True
DEU_Schopfloch-6_1_T-2,20057,[],[],,,,False,False,False,False,False,True
DEU_Schweitenkirchen-4_1_T-12,426,[],[],,,,False,False,False,False,False,True
DEU_Schweitenkirchen-5_1_T-36,625,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-10_1_T-5,20130,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-112_1_T-1,20046,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-174_1_T-4,20111,[],[],20111,,,False,False,True,False,True,True
DEU_Schwetzingen-180_1_T-2,20094,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-74_1_T-4,20064,[],[],,,,False,False,False,False,False,True
DEU_Weimar-57_1_T-1,17,[],[],,,,False,False,False,False,False,True
DEU_Weimar-68_1_T-3,60,[],[],,,,False,False,False,False,False,True
DEU_Wolfsburg-39_1_T-8,20148,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-10_44_T-1,30749,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-12_43_T-1,30716,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-21_6_T-1,30681,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-38_52_T-1,30739,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-39_11_T-1,30813,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-39_27_T-1,30810,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-3_13_T-1,30764,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-3_6_T-1,30764,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-44_19_T-1,30743,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-44_27_T-1,30760,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-49_21_T-1,30784,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-6_18_T-1,30746,[],[],,,,False,False,False,False,False,True
ESP_Bilbao-13_20_T-1,30801,[],[],,,,False,False,False,False,False,True
ESP_Bilbao-23_16_T-1,30921,[],[],,,,False,False,False,False,False,True
ESP_Bilbao-6_9_T-1,30693,[],[],,,,False,False,False,False,False,True
ESP_Ceuta-5_2_T-1,325,[],[],,,,False,False,False,False,False,True
ESP_Vigo-63_4_T-1,3044,[],[],,,,False,False,False,False,False,True
ESP_Vigo-70_2_T-1,3393,[],[],,,,False,False,False,False,False,True
ESP_Vigo-70_3_T-1,3395,[],[],,,,False,False,False,False,False,True
ESP_Vigo-99_21_T-1,3511,[],[],,,,False,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,[],[],,,,False,False,False,False,False,True
ESP_Vigo-99_34_T-1,3523,[],[],,,,False,False,False,False,False,True
FRA_Dijon-13_1_T-1,30374,[],[],,,,False,False,False,False,False,True
FRA_Dijon-24_4_T-1,30504,[],[],,,,False,False,False,False,False,True
FRA_Dijon-28_4_T-1,30532,[],[],,,,False,False,False,False,False,True
GRC_ArchaioLimani-46_1_T-2,21,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-117_1_T-6,20039,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-154_1_T-2,20066,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-31_1_T-12,20084,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-73_1_T-10,20100,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-87_1_T-1,20039,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-98_1_T-1,20051,[],[],,,,False,False,False,False,False,True
ITA_Empoli-2_5_T-1,358,[],[],358,,,False,False,True,False,True,True
ITA_Empoli-7_2_T-1,317,[],[],317,,,False,False,True,False,True,True
ITA_Siderno-5_3_T-1,344,[],[],,,,False,False,False,False,False,True
USA_Austin-46_4_T-1,3277,[],[],,,,False,False,False,False,False,True
USA_Austin-64_7_T-1,3338,[],[],,,,False,False,False,False,False,True
USA_Austin-77_10_T-1,3349,[],[],,,,False,False,False,False,False,True
USA_Austin-8_1_T-1,3301,[],[],,,,False,False,False,False,False,True
USA_Phoenix-17_14_T-1,3658,[],[],,,,False,False,False,False,False,True
USA_Phoenix-17_19_T-1,3667,[],[],,,,False,False,False,False,False,True
USA_Washington-12_15_T-1,30614,[],[],,,,False,False,False,False,False,True
USA_Washington-12_38_T-1,30629,[],[],,,,False,False,False,False,False,True
USA_Washington-32_46_T-1,30570,[],[],,,,False,False,False,False,False,True
