Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,PredictedCollisionObstacle,PredictedCollisionID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,AnnotatedIDIsPredictedCollision,CorrectlyIdentified,JsonFormat
DEU_Bremen-7_12_T-1,30299,[],[],{},,,False,False,False,False,False,True
GRC_NeaSmyrni-87_1_T-1,20039,[],[],{},,,False,False,False,False,False,True
DEU_Nuremberg-27_1_T-1,30628,[],[],,,,False,False,False,False,False,True
DEU_Hennigsdorf-5_3_T-1,342,"[{'ObstacleID': '338.0', 'OverallRiskScore': 0}]",[338],338.0,,,False,False,False,False,False,True
ESP_Bilbao-6_9_T-1,30693,[],[],,,,False,False,False,False,False,True
USA_Washington-12_15_T-1,30614,[],[],,,,False,False,False,False,False,True
BEL_Brussels-51_2_T-1,30196,"[{'ObstacleID': '30196.0', 'OverallRiskScore': 0}]",[30196],,,,True,True,False,False,True,True
DEU_Bonn-38_18_T-1,30234,"[{'ObstacleID': '30234.0', 'OverallRiskScore': 2}]",[30234],,,,True,True,False,False,True,True
ESP_Barcelona-12_43_T-1,30716,[],[],30716.0,,,False,False,True,False,True,True
DEU_Schweitenkirchen-4_1_T-12,426,[],[],{},,,False,False,False,False,False,True
USA_Washington-32_46_T-1,30570,[],[],30570.0,,,False,False,True,False,True,True
DEU_Nuremberg-6_21_T-1,30803,[],[],,,,False,False,False,False,False,True
DEU_Leipzig-13_19_T-1,3254,[],[],,,,False,False,False,False,False,True
USA_Austin-46_4_T-1,3277,[],[],3277.0,,,False,False,True,False,True,True
ESP_Bilbao-23_16_T-1,30921,[],[],30921.0,,,False,False,True,False,True,True
ITA_Empoli-7_2_T-1,317,[],[],317.0,,,False,False,True,False,True,True
USA_Austin-77_10_T-1,3349,[],[],3349.0,,,False,False,True,False,True,True
ESP_Barcelona-39_11_T-1,30813,"[{'ObstacleID': '30805.0', 'OverallRiskScore': 0}]",[30805],30814.0,,,False,False,False,False,False,True
DEU_Hanover-44_28_T-1,30730,[],[],30730.0,,,False,False,True,False,True,True
DEU_Schwetzingen-74_1_T-4,20064,[],[],20064.0,,,False,False,True,False,True,True
ESP_Barcelona-49_21_T-1,30784,"[{'ObstacleID': '30784.0', 'OverallRiskScore': 0}, {'ObstacleID': '30786.0', 'OverallRiskScore': 0}, {'ObstacleID': '30787.0', 'OverallRiskScore': 0}]","[30784, 30786, 30787]",30784.0,,,True,False,True,False,True,True
ESP_Vigo-99_21_T-1,3511,[],[],{},,,False,False,False,False,False,True
DEU_Schopfloch-6_1_T-2,20057,"[{'ObstacleID': '20057.0', 'OverallRiskScore': 0}]",[20057],20057.0,,,True,True,True,False,True,True
USA_Washington-34_15_T-1,30579,"[{'ObstacleID': '30579.0', 'OverallRiskScore': 0}]",[30579],30576.0,,,True,True,False,False,True,True
ESP_Barcelona-21_6_T-1,30681,[],[],,,,False,False,False,False,False,True
USA_Phoenix-17_14_T-1,3658,"[{'ObstacleID': '3658.0', 'OverallRiskScore': 0}]",[3658],3657.0,,,True,True,False,False,True,True
