Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,PredictedCollisionObstacle,PredictedCollisionID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,AnnotatedIDIsPredictedCollision,CorrectlyIdentified,JsonFormat
DEU_Bremen-7_12_T-1,30299,[],[],30295,{},,False,False,False,False,False,True
GRC_NeaSmyrni-87_1_T-1,20039,[],[],{},"{'ObstacleID': 20039, 'OverallRiskScore': 2}",20039,False,False,False,True,True,True
DEU_Nuremberg-27_1_T-1,30628,[],[],30628,"{'ObstacleID': '30628', 'OverallRiskScore': 0}",30628,False,False,True,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,[],[],,,,False,False,False,False,False,True
ESP_Bilbao-6_9_T-1,30693,[],[],{},{},,False,False,False,False,False,True
USA_Washington-12_15_T-1,30614,"[{'ObstacleID': '30610', 'OverallRiskScore': 2}]",[30610],{},{},,False,False,False,False,False,True
BEL_Brussels-51_2_T-1,30196,[],[],{},{},,False,False,False,False,False,True
DEU_Bonn-38_18_T-1,30234,[],[],30234,"{'ObstacleID': '30234', 'OverallRiskScore': 0}",30234,False,False,True,True,True,True
ESP_Barcelona-12_43_T-1,30716,[],[],{},{},,False,False,False,False,False,True
DEU_Schweitenkirchen-4_1_T-12,426,[],[],{},{},,False,False,False,False,False,True
USA_Washington-32_46_T-1,30570,[],[],30570,"{'ObstacleID': '30571', 'OverallRiskScore': 2}",30571,False,False,True,False,True,True
DEU_Nuremberg-6_21_T-1,30803,[],[],{},{},,False,False,False,False,False,True
DEU_Leipzig-13_19_T-1,3254,[],[],,"{'ObstacleID': '3249', 'OverallRiskScore': 2}",3249,False,False,False,False,False,True
USA_Austin-46_4_T-1,3277,[],[],3277,,,False,False,True,False,True,True
ESP_Bilbao-23_16_T-1,30921,[],[],,"{'ObstacleID': '30921', 'OverallRiskScore': 3}",30921,False,False,False,True,True,True
ITA_Empoli-7_2_T-1,317,[],[],317,"{'ObstacleID': '317', 'OverallRiskScore': 1}",317,False,False,True,True,True,True
USA_Austin-77_10_T-1,3349,[],[],3349,"{'ObstacleID': '3349', 'OverallRiskScore': 0}",3349,False,False,True,True,True,True
ESP_Barcelona-39_11_T-1,30813,[],[],,,,False,False,False,False,False,True
DEU_Hanover-44_28_T-1,30730,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-74_1_T-4,20064,[],[],{},{},,False,False,False,False,False,True
ESP_Barcelona-49_21_T-1,30784,[],[],{},{},,False,False,False,False,False,True
ESP_Vigo-99_21_T-1,3511,[],[],,,,False,False,False,False,False,True
DEU_Schopfloch-6_1_T-2,20057,[],[],20057,,,False,False,True,False,True,True
USA_Washington-34_15_T-1,30579,"[{'ObstacleID': '30579', 'OverallRiskScore': 1}]",[30579],30575,"{'ObstacleID': '30576', 'OverallRiskScore': 2}",30576,True,True,False,False,True,True
ESP_Barcelona-21_6_T-1,30681,[],[],{},{},,False,False,False,False,False,True
USA_Phoenix-17_14_T-1,3658,[],[],3658,,,False,False,True,False,True,True
ESP_Vigo-70_2_T-1,3393,[],[],3393,"{'ObstacleID': None, 'OverallRiskScore': None}",,False,False,True,False,True,True
DEU_Hanover-45_17_T-1,30700,[],[],{},{},,False,False,False,False,False,True
DEU_Schwetzingen-174_1_T-4,20111,[],[],20111,,,False,False,True,False,True,True
ITA_Empoli-2_5_T-1,358,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-98_1_T-1,20051,[],[],20051,"{'ObstacleID': '20051', 'OverallRiskScore': 0}",20051,False,False,True,True,True,True
DEU_Leipzig-37_8_T-1,3074,[],[],,,,False,False,False,False,False,True
DEU_Bremen-7_23_T-1,30306,[],[],{},{},,False,False,False,False,False,True
ESP_Ceuta-5_2_T-1,325,[],[],{},{},,False,False,False,False,False,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': '30285', 'OverallRiskScore': 0}]",[30285],30281,"{'ObstacleID': '30285', 'OverallRiskScore': 0}",30285,True,True,False,True,True,True
ESP_Barcelona-6_18_T-1,30746,[],[],30733,"{'ObstacleID': '30726', 'OverallRiskScore': 2}",30726,False,False,False,False,False,True
DEU_Schwetzingen-180_1_T-2,20094,[],[],20094,{},,False,False,True,False,True,True
ESP_Vigo-99_28_T-1,3517,[],[],3512,,,False,False,False,False,False,True
ESP_Vigo-63_4_T-1,3044,[],[],{},{},,False,False,False,False,False,True
ESP_Barcelona-38_52_T-1,30739,[],[],,,,False,False,False,False,False,True
ESP_Vigo-99_34_T-1,3523,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-3_13_T-1,30764,[],[],30764,,,False,False,True,False,True,True
DEU_Schwetzingen-10_1_T-5,20130,[],[],20130,"{'ObstacleID': None, 'OverallRiskScore': None}",,False,False,True,False,True,True
DEU_Weimar-57_1_T-1,17,[],[],17.0,{},,False,False,True,False,True,True
GRC_ArchaioLimani-46_1_T-2,21,[],[],21.0,,,False,False,True,False,True,True
DEU_Wolfsburg-39_1_T-8,20148,[],[],{},{},,False,False,False,False,False,True
ESP_Vigo-70_3_T-1,3395,[],[],{},{},,False,False,False,False,False,True
DEU_Flensburg-62_1_T-1,367,[],[],{},{},,False,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,[],[],,,,False,False,False,False,False,True
USA_Phoenix-17_19_T-1,3667,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-44_19_T-1,30743,[],[],30743,,,False,False,True,False,True,True
DEU_Bonn-19_2_T-1,30202,[],[],30202,"{'ObstacleID': '30202', 'OverallRiskScore': 1}",30202,False,False,True,True,True,True
USA_Washington-12_38_T-1,30629,[],[],30629,,,False,False,True,False,True,True
DEU_Guetersloh-32_1_T-1,33,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-112_1_T-1,20046,[],[],{},{},,False,False,False,False,False,True
DEU_Leipzig-63_24_T-1,3261,[],[],3265,{},,False,False,False,False,False,True
GRC_NeaSmyrni-73_1_T-10,20100,[],[],20100,{},,False,False,True,False,True,True
ESP_Barcelona-10_44_T-1,30749,[],[],,,,False,False,False,False,False,True
DEU_Salzwedel-80_1_T-2,20029,[],[],20029,,,False,False,True,False,True,True
BEL_Antwerp-10_7_T-1,30736,[],[],30736,"{'ObstacleID': '30738', 'OverallRiskScore': 2}",30738,False,False,True,False,True,True
BEL_Zwevegem-1_6_T-1,333,[],[],333,"{'ObstacleID': None, 'OverallRiskScore': None}",,False,False,True,False,True,True
DEU_Schweitenkirchen-5_1_T-36,625,[],[],,,,False,False,False,False,False,True
FRA_Dijon-24_4_T-1,30504,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],30195,,,False,False,True,False,True,True
FRA_Dijon-28_4_T-1,30532,[],[],30532,,,False,False,True,False,True,True
USA_Austin-8_1_T-1,3301,[],[],,,,False,False,False,False,False,True
GRC_NeaSmyrni-154_1_T-2,20066,[],[],,,,False,False,False,False,False,True
FRA_Dijon-13_1_T-1,30374,[],[],30374,{},,False,False,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,[],[],20052,"{'ObstacleID': 20052, 'OverallRiskScore': 0}",20052,False,False,True,True,True,True
ESP_Barcelona-3_6_T-1,30764,[],[],,"{'ObstacleID': '30757', 'OverallRiskScore': 2}",30757,False,False,False,False,False,True
GRC_NeaSmyrni-31_1_T-12,20084,[],[],{},{},,False,False,False,False,False,True
DEU_Leipzig-13_7_T-1,3254,[],[],3254,,,False,False,True,False,True,True
DEU_Salzwedel-74_1_T-4,20071,[],[],{},{},,False,False,False,False,False,True
DEU_Weimar-68_1_T-3,60,[],[],60,,,False,False,True,False,True,True
DEU_Lengede-44_1_T-6,109,[],[],,,,False,False,False,False,False,True
DEU_Nuremberg-24_13_T-1,30716,[],[],{},{},,False,False,False,False,False,True
ESP_Bilbao-13_20_T-1,30801,[],[],{},{},,False,False,False,False,False,True
CHN_Beijing-3_5_T-1,3107,[],[],{},{},,False,False,False,False,False,True
DEU_Backnang-2_1_T-1,33,[],[],33,"{'ObstacleID': 345, 'OverallRiskScore': 2}",345,False,False,True,False,True,True
DEU_Bonn-35_11_T-1,30200,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],30441,{},,False,False,True,False,True,True
DEU_Kiel-52_2_T-1,30666,[],[],,,,False,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,"[{'ObstacleID': '30233', 'OverallRiskScore': 0}]",[30233],{},"{'ObstacleID': '30233', 'OverallRiskScore': 0}",30233,False,False,False,False,False,True
DEU_Hanover-38_33_T-1,30688,[],[],,,,False,False,False,False,False,True
USA_Austin-64_7_T-1,3338,[],[],3338,,,False,False,True,False,True,True
DEU_Nuremberg-6_34_T-1,30796,[],[],30796,{},,False,False,True,False,True,True
DEU_Nuremberg-29_9_T-1,30786,[],[],{},{},,False,False,False,False,False,True
DEU_Muehlhausen-5_1_T-1,330,[],[],330,"{'ObstacleID': 330, 'OverallRiskScore': 2}",330,False,False,True,True,True,True
BEL_Antwerp-13_5_T-1,30674,[],[],30674,{},,False,False,True,False,True,True
ARG_Carcarana-1_8_T-1,341,[],[],{},{},,False,False,False,False,False,True
GRC_NeaSmyrni-117_1_T-6,20039,[],[],{},{},,False,False,False,False,False,True
BEL_Brussels-82_4_T-1,30233,[],[],{},{},,False,False,False,False,False,True
DEU_Muehlhausen-10_5_T-1,315,[],[],315,"{'ObstacleID': None, 'OverallRiskScore': None}",,False,False,True,False,True,True
ESP_Barcelona-44_27_T-1,30760,[],[],{},{},,False,False,False,False,False,True
CHN_Qingdao-18_2_T-1,30655,"[{'ObstacleID': '30655', 'OverallRiskScore': 1}]",[30655],,,,True,True,False,False,True,True
ESP_Barcelona-39_27_T-1,30810,[],[],,"{'ObstacleID': '30808', 'OverallRiskScore': 2}",30808,False,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,[],[],20036,{},,False,False,True,False,True,True
DEU_Bremen-1_10_T-1,30295,[],[],30295,{},,False,False,True,False,True,True
DEU_Nuremberg-30_6_T-1,30604,[],[],,"{'ObstacleID': '30604', 'OverallRiskScore': 2}",30604,False,False,False,True,True,True
ITA_Siderno-5_3_T-1,344,[],[],344,"{'ObstacleID': None, 'OverallRiskScore': None}",,False,False,True,False,True,True
