# Obstacle Identification Analysis Summary

## Dataset Statistics
Total scenarios in annotations: 100
Scenarios processed: 98
Scenarios with JSON format: 98 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## Identification Accuracy
Correctly identified as ONLY collision obstacle: 3 (3.06%)
Correctly identified as extreme risk obstacle: 33 (33.67%)
Correctly identified as predicted collision obstacle: 0 (0.00%)
Correctly identified as either collision, extreme risk, or predicted collision obstacle: 36 (36.73%)

## Detailed Analysis
Scenarios where annotated obstacle is the ONLY collision ID: 3 (3.06%)
Scenarios where annotated obstacle is in collision IDs (may be multiple): 3 (3.06%)
Scenarios where annotated obstacle is the extreme risk obstacle: 33 (33.67%)
Scenarios where annotated obstacle is the predicted collision obstacle: 0 (0.00%)
Scenarios where annotated obstacle is either the ONLY collision ID, the extreme risk obstacle, or the predicted collision obstacle: 36 (36.73%)

## JSON Format Performance
JSON format scenarios: 98
Correctly identified in JSON format: 36 (36.73%)

## Missing Scenarios
- DEU_Nuremberg-24_13_T-1
- DEU_Nuremberg-29_9_T-1


## Scenarios with Annotated Obstacle as ONLY Collision ID
- USA_Austin-77_10_T-1: Annotated ID 3349, Collision IDs [{'ObstacleID': '3349.0', 'OverallRiskScore': 0}]
- DEU_Schopfloch-6_1_T-2: Annotated ID 20057, Collision IDs [{'ObstacleID': '20057.0', 'OverallRiskScore': 0}]
- ESP_Vigo-70_2_T-1: Annotated ID 3393, Collision IDs [{'ObstacleID': '3393', 'OverallRiskScore': 0}]

## Scenarios with Annotated Obstacle in Multiple Collision IDs

## Scenarios with Annotated Obstacle as Extreme Risk
- GRC_NeaSmyrni-87_1_T-1: Annotated ID 20039, Extreme Risk ID 20039
- DEU_Hennigsdorf-5_3_T-1: Annotated ID 342, Extreme Risk ID 342.0
- USA_Washington-12_15_T-1: Annotated ID 30614, Extreme Risk ID 30614
- USA_Washington-32_46_T-1: Annotated ID 30570, Extreme Risk ID 30570
- ITA_Empoli-7_2_T-1: Annotated ID 317, Extreme Risk ID 317.0
- DEU_Schwetzingen-74_1_T-4: Annotated ID 20064, Extreme Risk ID 20064.0
- DEU_Schwetzingen-174_1_T-4: Annotated ID 20111, Extreme Risk ID 20111.0
- DEU_Bremen-7_23_T-1: Annotated ID 30306, Extreme Risk ID 30306.0
- ESP_Ceuta-5_2_T-1: Annotated ID 325, Extreme Risk ID 325.0
- DEU_Schwetzingen-180_1_T-2: Annotated ID 20094, Extreme Risk ID 20094.0
- ESP_Vigo-99_28_T-1: Annotated ID 3517, Extreme Risk ID 3517
- DEU_Schwetzingen-10_1_T-5: Annotated ID 20130, Extreme Risk ID 20130
- DEU_Weimar-57_1_T-1: Annotated ID 17, Extreme Risk ID 17.0
- ESP_Vigo-70_3_T-1: Annotated ID 3395, Extreme Risk ID 3395.0
- DEU_Bremen-33_33_T-1: Annotated ID 30274, Extreme Risk ID 30274.0
- ESP_Barcelona-44_19_T-1: Annotated ID 30743, Extreme Risk ID 30743.0
- DEU_Bonn-19_2_T-1: Annotated ID 30202, Extreme Risk ID 30202.0
- DEU_Salzwedel-80_1_T-2: Annotated ID 20029, Extreme Risk ID 20029.0
- BEL_Zwevegem-1_6_T-1: Annotated ID 333, Extreme Risk ID 333
- DEU_Schweitenkirchen-5_1_T-36: Annotated ID 625, Extreme Risk ID 625.0
- FRA_Dijon-24_4_T-1: Annotated ID 30504, Extreme Risk ID 30504.0
- DEU_Memmingen-1_1_T-5: Annotated ID 20052, Extreme Risk ID 20052.0
- DEU_Leipzig-13_7_T-1: Annotated ID 3254, Extreme Risk ID 3254.0
- ESP_Bilbao-13_20_T-1: Annotated ID 30801, Extreme Risk ID 30801.0
- CHN_Beijing-3_5_T-1: Annotated ID 3107, Extreme Risk ID 3107.0
- DEU_Backnang-2_1_T-1: Annotated ID 33, Extreme Risk ID 33.0
- USA_Austin-64_7_T-1: Annotated ID 3338, Extreme Risk ID 3338
- DEU_Nuremberg-6_34_T-1: Annotated ID 30796, Extreme Risk ID 30796
- DEU_Muehlhausen-5_1_T-1: Annotated ID 330, Extreme Risk ID 330.0
- BEL_Antwerp-13_5_T-1: Annotated ID 30674, Extreme Risk ID 30674.0
- ESP_Barcelona-44_27_T-1: Annotated ID 30760, Extreme Risk ID 30760.0
- DEU_Bremen-1_10_T-1: Annotated ID 30295, Extreme Risk ID 30295
- ITA_Siderno-5_3_T-1: Annotated ID 344, Extreme Risk ID 344

## Scenarios with Annotated Obstacle as Predicted Collision

## Scenarios with Incorrect Obstacle Identification
- DEU_Bremen-7_12_T-1: Annotated ID 30299, Collision IDs [], Extreme Risk ID 30305, Predicted Collision ID None
- DEU_Nuremberg-27_1_T-1: Annotated ID 30628, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Bilbao-6_9_T-1: Annotated ID 30693, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-51_2_T-1: Annotated ID 30196, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Bonn-38_18_T-1: Annotated ID 30234, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- ESP_Barcelona-12_43_T-1: Annotated ID 30716, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Schweitenkirchen-4_1_T-12: Annotated ID 426, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Nuremberg-6_21_T-1: Annotated ID 30803, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Leipzig-13_19_T-1: Annotated ID 3254, Collision IDs [], Extreme Risk ID 3249, Predicted Collision ID None
- USA_Austin-46_4_T-1: Annotated ID 3277, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Bilbao-23_16_T-1: Annotated ID 30921, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-39_11_T-1: Annotated ID 30813, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Hanover-44_28_T-1: Annotated ID 30730, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-49_21_T-1: Annotated ID 30784, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Vigo-99_21_T-1: Annotated ID 3511, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- USA_Washington-34_15_T-1: Annotated ID 30579, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-21_6_T-1: Annotated ID 30681, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- USA_Phoenix-17_14_T-1: Annotated ID 3658, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Hanover-45_17_T-1: Annotated ID 30700, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ITA_Empoli-2_5_T-1: Annotated ID 358, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- GRC_NeaSmyrni-98_1_T-1: Annotated ID 20051, Collision IDs [], Extreme Risk ID 20048.0, Predicted Collision ID None
- DEU_Leipzig-37_8_T-1: Annotated ID 3074, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Aschaffenburg-21_21_T-1: Annotated ID 30285, Collision IDs [], Extreme Risk ID 30281.0, Predicted Collision ID None
- ESP_Barcelona-6_18_T-1: Annotated ID 30746, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Vigo-63_4_T-1: Annotated ID 3044, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-38_52_T-1: Annotated ID 30739, Collision IDs [], Extreme Risk ID 30733, Predicted Collision ID None
- ESP_Vigo-99_34_T-1: Annotated ID 3523, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-3_13_T-1: Annotated ID 30764, Collision IDs [], Extreme Risk ID 30755, Predicted Collision ID None
- GRC_ArchaioLimani-46_1_T-2: Annotated ID 21, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Wolfsburg-39_1_T-8: Annotated ID 20148, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Flensburg-62_1_T-1: Annotated ID 367, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- USA_Phoenix-17_19_T-1: Annotated ID 3667, Collision IDs [], Extreme Risk ID 3662.0, Predicted Collision ID None
- USA_Washington-12_38_T-1: Annotated ID 30629, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Guetersloh-32_1_T-1: Annotated ID 33, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Schwetzingen-112_1_T-1: Annotated ID 20046, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Leipzig-63_24_T-1: Annotated ID 3261, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- GRC_NeaSmyrni-73_1_T-10: Annotated ID 20100, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-10_44_T-1: Annotated ID 30749, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Antwerp-10_7_T-1: Annotated ID 30736, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Aschaffenburg-64_5_T-1: Annotated ID 30195, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- FRA_Dijon-28_4_T-1: Annotated ID 30532, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- USA_Austin-8_1_T-1: Annotated ID 3301, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- GRC_NeaSmyrni-154_1_T-2: Annotated ID 20066, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- FRA_Dijon-13_1_T-1: Annotated ID 30374, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-3_6_T-1: Annotated ID 30764, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- GRC_NeaSmyrni-31_1_T-12: Annotated ID 20084, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Salzwedel-74_1_T-4: Annotated ID 20071, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Weimar-68_1_T-3: Annotated ID 60, Collision IDs [], Extreme Risk ID 71.0, Predicted Collision ID None
- DEU_Lengede-44_1_T-6: Annotated ID 109, Collision IDs [], Extreme Risk ID 41.0, Predicted Collision ID None
- DEU_Bonn-35_11_T-1: Annotated ID 30200, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Aschaffenburg-15_26_T-1: Annotated ID 30441, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Kiel-52_2_T-1: Annotated ID 30666, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Bonn-38_4_T-1: Annotated ID 30234, Collision IDs [], Extreme Risk ID 30232, Predicted Collision ID None
- DEU_Hanover-38_33_T-1: Annotated ID 30688, Collision IDs [], Extreme Risk ID 30694.0, Predicted Collision ID None
- ARG_Carcarana-1_8_T-1: Annotated ID 341, Collision IDs [], Extreme Risk ID 357.0, Predicted Collision ID None
- GRC_NeaSmyrni-117_1_T-6: Annotated ID 20039, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-82_4_T-1: Annotated ID 30233, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Muehlhausen-10_5_T-1: Annotated ID 315, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- CHN_Qingdao-18_2_T-1: Annotated ID 30655, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ESP_Barcelona-39_27_T-1: Annotated ID 30810, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Memmingen-138_1_T-4: Annotated ID 20036, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Nuremberg-30_6_T-1: Annotated ID 30604, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None

## Scenarios without JSON Format
