Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,"[{'ObstacleID': '341', 'OverallRiskScore': 0}]",[341],,True,True,False,True,True
BEL_Antwerp-10_7_T-1,30736,[],[],30736,False,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,[],[],30674,False,False,True,True,True
BEL_Brussels-51_2_T-1,30196,[],[],30196,False,False,True,True,True
BEL_Brussels-82_4_T-1,30233,[],[],,False,False,False,False,True
BEL_Zwevegem-1_6_T-1,333,[],[],,False,False,False,False,True
CHN_Beijing-3_5_T-1,3107,"[{'ObstacleID': '3107', 'OverallRiskScore': 1}]",[3107],,True,True,False,True,True
CHN_Qingdao-18_2_T-1,30655,[],[],30655,False,False,True,True,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],30441,False,False,True,True,True
DEU_Aschaffenburg-21_21_T-1,30285,[],[],30285,False,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],,False,False,False,False,True
DEU_Backnang-2_1_T-1,33,[],[],33,False,False,True,True,True
DEU_Bonn-19_2_T-1,30202,[],[],30202,False,False,True,True,True
DEU_Bonn-35_11_T-1,30200,[],[],30200,False,False,True,True,True
DEU_Bonn-38_18_T-1,30234,[],[],,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,[],[],,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,"[{'ObstacleID': '30308', 'OverallRiskScore': 0}]",[30308],30295,False,False,True,True,True
DEU_Bremen-33_33_T-1,30274,[],[],,False,False,False,False,True
DEU_Bremen-7_12_T-1,30299,[],[],30299,False,False,True,True,True
DEU_Bremen-7_23_T-1,30306,[],[],30306,False,False,True,True,True
DEU_Flensburg-62_1_T-1,367,[],[],,False,False,False,False,True
DEU_Guetersloh-32_1_T-1,33,[],[],,False,False,False,False,True
DEU_Hanover-38_33_T-1,30688,[],[],,False,False,False,False,True
DEU_Hanover-44_28_T-1,30730,[],[],30730,False,False,True,True,True
DEU_Hanover-45_17_T-1,30700,[],[],30700,False,False,True,True,True
