Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,"[{'ObstacleID': '357', 'OverallRiskScore': 0}]",[357],341,False,False,True,True,True
BEL_Antwerp-10_7_T-1,30736,[],[],30736,False,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,[None],[None],30674,False,False,True,True,True
BEL_Brussels-51_2_T-1,30196,[],[],30196,False,False,True,True,True
BEL_Brussels-82_4_T-1,30233,[],[],30233,False,False,True,True,True
BEL_Zwevegem-1_6_T-1,333,[],[],333,False,False,True,True,True
CHN_Beijing-3_5_T-1,3107,[None],[None],3107,False,False,True,True,True
CHN_Qingdao-18_2_T-1,30655,[],[],30655,False,False,True,True,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],30441,False,False,True,True,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': '30281', 'OverallRiskScore': 0}]",[30281],30285,False,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],30195,False,False,True,True,True
DEU_Backnang-2_1_T-1,33,[],[],33,False,False,True,True,True
DEU_Bonn-19_2_T-1,30202,"[{'ObstacleID': '30202', 'OverallRiskScore': 0}]",[30202],,True,True,False,True,True
DEU_Bonn-35_11_T-1,30200,[],[],30200,False,False,True,True,True
DEU_Bonn-38_18_T-1,30234,"[{'ObstacleID': '30230', 'OverallRiskScore': 0}, {'ObstacleID': '30232', 'OverallRiskScore': 0}]","[30230, 30232]",30227,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,[],[],30228,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,"[{'ObstacleID': '30294', 'OverallRiskScore': 0}, {'ObstacleID': '30295', 'OverallRiskScore': 0}, {'ObstacleID': '30308', 'OverallRiskScore': 0}]","[30294, 30295, 30308]",,True,False,False,False,True
DEU_Bremen-33_33_T-1,30274,[],[],30267,False,False,False,False,True
DEU_Bremen-7_12_T-1,30299,"[{'ObstacleID': '30299', 'OverallRiskScore': 0}]",[30299],,True,True,False,True,True
DEU_Bremen-7_23_T-1,30306,[None],[None],30306,False,False,True,True,True
DEU_Flensburg-62_1_T-1,367,[None],[None],367,False,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,[],[],33,False,False,True,True,True
DEU_Hanover-38_33_T-1,30688,"[{'ObstacleID': '30704', 'OverallRiskScore': 0}]",[30704],30688,False,False,True,True,True
DEU_Hanover-44_28_T-1,30730,[],[],30730,False,False,True,True,True
DEU_Hanover-45_17_T-1,30700,[],[],30700,False,False,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,"[{'ObstacleID': '30', 'OverallRiskScore': 0}]",[30],342,False,False,True,True,True
DEU_Kiel-52_2_T-1,30666,"[{'ObstacleID': '30666', 'OverallRiskScore': 0}]",[30666],30667,True,True,False,True,True
DEU_Leipzig-13_19_T-1,3254,"[{'ObstacleID': '3243', 'OverallRiskScore': 0}]",[3243],,False,False,False,False,True
DEU_Leipzig-13_7_T-1,3254,[],[],3254,False,False,True,True,True
DEU_Leipzig-37_8_T-1,3074,"[{'ObstacleID': '3074', 'OverallRiskScore': 0}]",[3074],,True,True,False,True,True
DEU_Leipzig-63_24_T-1,3261,"[{'ObstacleID': '3265', 'OverallRiskScore': 0}]",[3265],3261,False,False,True,True,True
DEU_Lengede-44_1_T-6,109,[],[],,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,"[{'ObstacleID': '20036', 'OverallRiskScore': 0}]",[20036],,True,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,"[{'ObstacleID': '20052', 'OverallRiskScore': 0}]",[20052],,True,True,False,True,True
