Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,"[{'ObstacleID': '341', 'OverallRiskScore': '0'}]",[341],341,True,True,True,True,True
BEL_Antwerp-10_7_T-1,30736,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30736,False,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,"[{'ObstacleID': '30675', 'OverallRiskScore': '0'}]",[30675],30674,False,False,True,True,True
BEL_Brussels-51_2_T-1,30196,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30196,False,False,True,True,True
BEL_Brussels-82_4_T-1,30233,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],30233,False,False,True,True,True
BEL_Zwevegem-1_6_T-1,333,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],333,False,False,True,True,True
CHN_Beijing-3_5_T-1,3107,"[{'ObstacleID': '3107', 'OverallRiskScore': '0'}]",[3107],3100,True,True,False,True,True
CHN_Qingdao-18_2_T-1,30655,"[{'ObstacleID': '30655', 'OverallRiskScore': '0'}]",[30655],30656,True,True,False,True,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': '30281', 'OverallRiskScore': '0'}]",[30281],30285,False,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,"[{'ObstacleID': '30195', 'OverallRiskScore': '0'}]",[30195],30187,True,True,False,True,True
DEU_Backnang-2_1_T-1,33,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],33,True,True,True,True,True
DEU_Bonn-19_2_T-1,30202,"[{'ObstacleID': '30202', 'OverallRiskScore': '0'}]",[30202],30202,True,True,True,True,True
DEU_Bonn-38_18_T-1,30234,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30234,False,False,True,True,True
DEU_Bonn-38_4_T-1,30234,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30233,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,"[{'ObstacleID': '30308', 'OverallRiskScore': '0'}]",[30308],,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],30274,False,False,True,True,True
DEU_Bremen-7_12_T-1,30299,"[{'ObstacleID': '30299', 'OverallRiskScore': '0'}]",[30299],30299,True,True,True,True,True
DEU_Bremen-7_23_T-1,30306,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30306,False,False,True,True,True
DEU_Flensburg-62_1_T-1,367,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],367,False,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],33,False,False,True,True,True
DEU_Hanover-38_33_T-1,30688,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30688,False,False,True,True,True
DEU_Hanover-44_28_T-1,30730,"[{'ObstacleID': '30730', 'OverallRiskScore': '0'}]",[30730],30733,True,True,False,True,True
DEU_Hanover-45_17_T-1,30700,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30700,False,False,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,"[{'ObstacleID': '343', 'OverallRiskScore': '0'}]",[343],342,False,False,True,True,True
DEU_Kiel-52_2_T-1,30666,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30667,False,False,False,False,True
DEU_Leipzig-13_19_T-1,3254,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3254,False,False,True,True,True
DEU_Leipzig-13_7_T-1,3254,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3261,False,False,False,False,True
DEU_Leipzig-37_8_T-1,3074,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],3074,False,False,True,True,True
DEU_Leipzig-63_24_T-1,3261,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3261,False,False,True,True,True
DEU_Lengede-44_1_T-6,109,"[{'ObstacleID': '109', 'OverallRiskScore': '0'}]",[109],45,True,True,False,True,True
DEU_Memmingen-138_1_T-4,20036,"[{'ObstacleID': '20036', 'OverallRiskScore': '0'}]",[20036],20037,True,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,"[{'ObstacleID': '20052', 'OverallRiskScore': '0'}]",[20052],20052,True,True,True,True,True
DEU_Muehlhausen-10_5_T-1,315,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],315,False,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],330,False,False,True,True,True
DEU_Nuremberg-24_13_T-1,30716,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30716,False,False,True,True,True
DEU_Nuremberg-27_1_T-1,30628,"[{'ObstacleID': '30625', 'OverallRiskScore': '0'}]",[30625],30628,False,False,True,True,True
DEU_Nuremberg-29_9_T-1,30786,"[{'ObstacleID': '30786', 'OverallRiskScore': '0'}]",[30786],30786,True,True,True,True,True
DEU_Nuremberg-30_6_T-1,30604,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30604,False,False,True,True,True
DEU_Nuremberg-6_21_T-1,30803,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30803,False,False,True,True,True
DEU_Nuremberg-6_34_T-1,30796,"[{'ObstacleID': '30796', 'OverallRiskScore': '0'}]",[30796],30787,True,True,False,True,True
DEU_Salzwedel-74_1_T-4,20071,"[{'ObstacleID': '20071', 'OverallRiskScore': '0'}]",[20071],20071,True,True,True,True,True
DEU_Salzwedel-80_1_T-2,20029,"[{'ObstacleID': '20029', 'OverallRiskScore': '0'}]",[20029],20029,True,True,True,True,True
DEU_Schopfloch-6_1_T-2,20057,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],20057,False,False,True,True,True
DEU_Schweitenkirchen-4_1_T-12,426,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],426,False,False,True,True,True
DEU_Schweitenkirchen-5_1_T-36,625,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],625,False,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],None,False,False,False,False,True
DEU_Schwetzingen-112_1_T-1,20046,"[{'ObstacleID': '20046', 'OverallRiskScore': '0'}]",[20046],20047,True,True,False,True,True
DEU_Schwetzingen-174_1_T-4,20111,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],20111,False,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],20094,False,False,True,True,True
DEU_Schwetzingen-74_1_T-4,20064,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],20064,False,False,True,True,True
DEU_Weimar-57_1_T-1,17,"[{'ObstacleID': '17', 'OverallRiskScore': '0'}]",[17],25,True,True,False,True,True
DEU_Weimar-68_1_T-3,60,"[{'ObstacleID': '60', 'OverallRiskScore': '1'}]",[60],60,True,True,True,True,True
DEU_Wolfsburg-39_1_T-8,20148,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],20148,False,False,True,True,True
ESP_Barcelona-10_44_T-1,30749,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30735,False,False,False,False,True
ESP_Barcelona-12_43_T-1,30716,"[{'ObstacleID': '30716', 'OverallRiskScore': '0'}]",[30716],30716,True,True,True,True,True
ESP_Barcelona-21_6_T-1,30681,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30681,False,False,True,True,True
ESP_Barcelona-38_52_T-1,30739,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30739,False,False,True,True,True
ESP_Barcelona-39_11_T-1,30813,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30813,False,False,True,True,True
ESP_Barcelona-39_27_T-1,30810,"[{'ObstacleID': '30810', 'OverallRiskScore': '0'}]",[30810],30805,True,True,False,True,True
ESP_Barcelona-3_13_T-1,30764,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30764,False,False,True,True,True
ESP_Barcelona-3_6_T-1,30764,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30764,False,False,True,True,True
ESP_Barcelona-44_19_T-1,30743,"[{'ObstacleID': '30743', 'OverallRiskScore': '0'}]",[30743],30743,True,True,True,True,True
ESP_Barcelona-44_27_T-1,30760,"[{'ObstacleID': '30760', 'OverallRiskScore': '0'}]",[30760],30743,True,True,False,True,True
ESP_Barcelona-49_21_T-1,30784,"[{'ObstacleID': '30784', 'OverallRiskScore': '0'}]",[30784],30786,True,True,False,True,True
ESP_Barcelona-6_18_T-1,30746,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],30746,False,False,True,True,True
ESP_Bilbao-13_20_T-1,30801,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30801,False,False,True,True,True
ESP_Bilbao-23_16_T-1,30921,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],30921,False,False,True,True,True
ESP_Bilbao-6_9_T-1,30693,"[{'ObstacleID': '30693', 'OverallRiskScore': '0'}]",[30693],30693,True,True,True,True,True
ESP_Ceuta-5_2_T-1,325,"[{'ObstacleID': '325', 'OverallRiskScore': '0'}]",[325],31,True,True,False,True,True
ESP_Vigo-63_4_T-1,3044,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3044,False,False,True,True,True
ESP_Vigo-70_2_T-1,3393,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],3393,False,False,True,True,True
ESP_Vigo-70_3_T-1,3395,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3395,False,False,True,True,True
ESP_Vigo-99_21_T-1,3511,"[{'ObstacleID': '3515', 'OverallRiskScore': '0'}]",[3515],3515,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,"[{'ObstacleID': '3511', 'OverallRiskScore': '0'}]",[3511],3517,False,False,True,True,True
ESP_Vigo-99_34_T-1,3523,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],3523,False,False,True,True,True
FRA_Dijon-13_1_T-1,30374,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],30374,False,False,True,True,True
FRA_Dijon-24_4_T-1,30504,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,True
FRA_Dijon-28_4_T-1,30532,"[{'ObstacleID': None, 'OverallRiskScore': '0'}]",[None],30532,False,False,True,True,True
GRC_ArchaioLimani-46_1_T-2,21,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],21,False,False,True,True,True
GRC_NeaSmyrni-117_1_T-6,20039,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],20039,True,True,True,True,True
GRC_NeaSmyrni-154_1_T-2,20066,"[{'ObstacleID': '20066', 'OverallRiskScore': '0'}]",[20066],20066,True,True,True,True,True
GRC_NeaSmyrni-31_1_T-12,20084,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],20084,False,False,True,True,True
