Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],341,False,False,True,True,True
BEL_Antwerp-10_7_T-1,30736,"[{'ObstacleID': '30736', 'OverallRiskScore': '0'}]",[30736],30736,True,True,True,True,True
BEL_Brussels-82_4_T-1,30233,"[{'ObstacleID': '30233', 'OverallRiskScore': '0'}]",[30233],30233,True,True,True,True,True
BEL_Zwevegem-1_6_T-1,333,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],333,False,False,True,True,True
CHN_Beijing-3_5_T-1,3107,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],3107,False,False,True,True,True
DEU_Aschaffenburg-15_26_T-1,30441,"[{'ObstacleID': '', 'OverallRiskScore': None}]",[''],,False,False,False,False,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30285,False,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,"[{'ObstacleID': '30195', 'OverallRiskScore': '0'}]",[30195],30187,True,True,False,True,True
DEU_Backnang-2_1_T-1,33,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],33,False,False,True,True,True
DEU_Bonn-19_2_T-1,30202,"[{'ObstacleID': '30202', 'OverallRiskScore': '0'}]",[30202],,True,True,False,True,True
DEU_Bonn-35_11_T-1,30200,"[{'ObstacleID': '30200', 'OverallRiskScore': '0'}]",[30200],30200,True,True,True,True,True
DEU_Bonn-38_18_T-1,30234,"[{'ObstacleID': '30234', 'OverallRiskScore': '0'}]",[30234],30227,True,True,False,True,True
DEU_Bonn-38_4_T-1,30234,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30228,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,"[{'ObstacleID': '30308', 'OverallRiskScore': '0'}]",[30308],,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,"[{'ObstacleID': '30274', 'OverallRiskScore': '0'}]",[30274],,True,True,False,True,True
DEU_Bremen-7_12_T-1,30299,"[{'ObstacleID': '30299', 'OverallRiskScore': '0'}]",[30299],N/A,True,True,False,True,True
DEU_Flensburg-62_1_T-1,367,"[{'ObstacleID': '367', 'OverallRiskScore': '0'}]",[367],367,True,True,True,True,True
DEU_Guetersloh-32_1_T-1,33,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],33,True,True,True,True,True
DEU_Hanover-38_33_T-1,30688,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],30688,False,False,True,True,True
DEU_Hanover-44_28_T-1,30730,"[{'ObstacleID': '30730', 'OverallRiskScore': '0'}]",[30730],30733,True,True,False,True,True
DEU_Hanover-45_17_T-1,30700,"[{'ObstacleID': '30700', 'OverallRiskScore': '0'}]",[30700],,True,True,False,True,True
DEU_Kiel-52_2_T-1,30666,"[{'ObstacleID': '30667', 'OverallRiskScore': '1'}]",[30667],30666,False,False,True,True,True
DEU_Leipzig-13_19_T-1,3254,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],3254,False,False,True,True,True
DEU_Leipzig-13_7_T-1,3254,"[{'ObstacleID': 'N/A', 'OverallRiskScore': '0'}]",['N/A'],3254,False,False,True,True,True
DEU_Leipzig-37_8_T-1,3074,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],3074,False,False,True,True,True
DEU_Leipzig-63_24_T-1,3261,"[{'ObstacleID': '3261', 'OverallRiskScore': '0'}]",[3261],3261,True,True,True,True,True
DEU_Lengede-44_1_T-6,109,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],45,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,"[{'ObstacleID': '20036', 'OverallRiskScore': '0'}]",[20036],20039,True,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,"[{'ObstacleID': '20052', 'OverallRiskScore': '0'}]",[20052],20052,True,True,True,True,True
DEU_Muehlhausen-10_5_T-1,315,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],315,False,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,"[{'ObstacleID': '330', 'OverallRiskScore': '0'}]",[330],330,True,True,True,True,True
DEU_Nuremberg-24_13_T-1,30716,"[{'ObstacleID': '30716', 'OverallRiskScore': '0'}]",[30716],,True,True,False,True,True
DEU_Nuremberg-27_1_T-1,30628,"[{'ObstacleID': '30628', 'OverallRiskScore': '0'}]",[30628],N/A,True,True,False,True,True
DEU_Nuremberg-29_9_T-1,30786,"[{'ObstacleID': '30786', 'OverallRiskScore': '0'}]",[30786],30786,True,True,True,True,True
DEU_Nuremberg-30_6_T-1,30604,"[{'ObstacleID': '30604', 'OverallRiskScore': '0'}]",[30604],30603,True,True,False,True,True
DEU_Nuremberg-6_21_T-1,30803,[],[],30803,False,False,True,True,True
DEU_Nuremberg-6_34_T-1,30796,"[{'ObstacleID': 'NULL', 'OverallRiskScore': '5'}]",['NULL'],NULL,False,False,False,False,True
DEU_Salzwedel-74_1_T-4,20071,"[{'ObstacleID': '20071', 'OverallRiskScore': '0'}]",[20071],,True,True,False,True,True
DEU_Salzwedel-80_1_T-2,20029,"[{'ObstacleID': '20029', 'OverallRiskScore': '0'}]",[20029],,True,True,False,True,True
DEU_Schopfloch-6_1_T-2,20057,"[{'ObstacleID': '20057', 'OverallRiskScore': '0'}]",[20057],None,True,True,False,True,True
DEU_Schweitenkirchen-4_1_T-12,426,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],221,False,False,False,False,True
DEU_Schweitenkirchen-5_1_T-36,625,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],625,False,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,True
DEU_Schwetzingen-112_1_T-1,20046,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],20046,False,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,"[{'ObstacleID': '20094', 'OverallRiskScore': '0'}]",[20094],20094,True,True,True,True,True
DEU_Weimar-57_1_T-1,17,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],17,False,False,True,True,True
DEU_Weimar-68_1_T-3,60,"[{'ObstacleID': '60', 'OverallRiskScore': '0'}]",[60],60,True,True,True,True,True
DEU_Wolfsburg-39_1_T-8,20148,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,True
ESP_Barcelona-10_44_T-1,30749,"[{'ObstacleID': '30749', 'OverallRiskScore': '0'}]",[30749],30735,True,True,False,True,True
ESP_Barcelona-21_6_T-1,30681,"[{'ObstacleID': '30681', 'OverallRiskScore': '1'}]",[30681],30681,True,True,True,True,True
ESP_Barcelona-38_52_T-1,30739,"[{'ObstacleID': '30739', 'OverallRiskScore': '0'}]",[30739],30734,True,True,False,True,True
ESP_Barcelona-39_27_T-1,30810,"[{'ObstacleID': '30810', 'OverallRiskScore': '0'}]",[30810],30805,True,True,False,True,True
ESP_Barcelona-3_13_T-1,30764,"[{'ObstacleID': '30764', 'OverallRiskScore': '1'}]",[30764],30763,True,True,False,True,True
ESP_Barcelona-3_6_T-1,30764,"[{'ObstacleID': 'N/A', 'OverallRiskScore': '0'}]",['N/A'],30764,False,False,True,True,True
ESP_Barcelona-44_19_T-1,30743,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30743,False,False,True,True,True
ESP_Barcelona-6_18_T-1,30746,[],[],30746,False,False,True,True,True
ESP_Bilbao-13_20_T-1,30801,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],30801,False,False,True,True,True
ESP_Bilbao-23_16_T-1,30921,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],30921,False,False,True,True,True
ESP_Bilbao-6_9_T-1,30693,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],30693,False,False,True,True,True
ESP_Vigo-63_4_T-1,3044,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],3044,False,False,True,True,True
ESP_Vigo-70_2_T-1,3393,[],[],3393,False,False,True,True,True
ESP_Vigo-70_3_T-1,3395,"[{'ObstacleID': '3395', 'OverallRiskScore': '0'}]",[3395],None,True,True,False,True,True
ESP_Vigo-99_21_T-1,3511,"[{'ObstacleID': '3515', 'OverallRiskScore': '0'}]",[3515],3515,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,"[{'ObstacleID': 'None', 'OverallRiskScore': None}]",['None'],None,False,False,False,False,True
ESP_Vigo-99_34_T-1,3523,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],None,False,False,False,False,True
FRA_Dijon-13_1_T-1,30374,"[{'ObstacleID': '30374', 'OverallRiskScore': '1'}]",[30374],30374,True,True,True,True,True
FRA_Dijon-24_4_T-1,30504,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,True
FRA_Dijon-28_4_T-1,30532,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],"30532, 30539",False,False,False,False,True
GRC_ArchaioLimani-46_1_T-2,21,"[{'ObstacleID': '21', 'OverallRiskScore': '0'}]",[21],{},True,True,False,True,True
GRC_NeaSmyrni-31_1_T-12,20084,[],[],20084,False,False,True,True,True
GRC_NeaSmyrni-73_1_T-10,20100,"[{'ObstacleID': '20100', 'OverallRiskScore': '0'}]",[20100],20090,True,True,False,True,True
GRC_NeaSmyrni-87_1_T-1,20039,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],20039,False,False,True,True,True
ITA_Empoli-2_5_T-1,358,"[{'ObstacleID': '39', 'OverallRiskScore': '0'}]",[39],358,False,False,True,True,True
ITA_Empoli-7_2_T-1,317,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],317,False,False,True,True,True
ITA_Siderno-5_3_T-1,344,"[{'ObstacleID': '344', 'OverallRiskScore': '0'}]",[344],344,True,True,True,True,True
USA_Austin-64_7_T-1,3338,"[{'ObstacleID': '3338', 'OverallRiskScore': '1'}]",[3338],3338,True,True,True,True,True
USA_Austin-77_10_T-1,3349,"[{'ObstacleID': '3349', 'OverallRiskScore': '0'}]",[3349],,True,True,False,True,True
USA_Austin-8_1_T-1,3301,"[{'ObstacleID': '3301', 'OverallRiskScore': '0'}]",[3301],3301,True,True,True,True,True
USA_Phoenix-17_19_T-1,3667,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],3659,False,False,False,False,True
USA_Washington-12_38_T-1,30629,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],30629,False,False,True,True,True
USA_Washington-32_46_T-1,30570,"[{'ObstacleID': '30568', 'OverallRiskScore': '0'}]",[30568],30561,False,False,False,False,True
USA_Washington-34_15_T-1,30579,"[{'ObstacleID': '30579', 'OverallRiskScore': '0'}]",[30579],30581,True,True,False,True,True
DEU_Hennigsdorf-5_3_T-1,342,"[{'ObstacleID': '342', 'OverallRiskScore': '0'}]",[342],342,True,True,True,True,True
USA_Washington-12_15_T-1,30614,"[{'ObstacleID': '30614', 'OverallRiskScore': '0'}]",[30614],30614,True,True,True,True,True
BEL_Brussels-51_2_T-1,30196,"[{'ObstacleID': '30196', 'OverallRiskScore': '0'}]",[30196],30196,True,True,True,True,True
ESP_Barcelona-12_43_T-1,30716,"[{'ObstacleID': '30716', 'OverallRiskScore': '0'}]",[30716],30716,True,True,True,True,True
USA_Austin-46_4_T-1,3277,"[{'ObstacleID': '3277', 'OverallRiskScore': '0'}]",[3277],3277,True,True,True,True,True
ESP_Barcelona-39_11_T-1,30813,"[{'ObstacleID': '30813', 'OverallRiskScore': '0'}]",[30813],30813,True,True,True,True,True
DEU_Schwetzingen-74_1_T-4,20064,"[{'ObstacleID': '20064', 'OverallRiskScore': '0'}]",[20064],20064,True,True,True,True,True
ESP_Barcelona-49_21_T-1,30784,"[{'ObstacleID': '30784', 'OverallRiskScore': '0'}]",[30784],30784,True,True,True,True,True
USA_Phoenix-17_14_T-1,3659,"[{'ObstacleID': '3659', 'OverallRiskScore': '0'}]",[3659],3659,True,True,True,True,True
DEU_Schwetzingen-174_1_T-4,20111,"[{'ObstacleID': '20111', 'OverallRiskScore': '0'}]",[20111],20111,True,True,True,True,True
GRC_NeaSmyrni-98_1_T-1,20051,"[{'ObstacleID': '20051', 'OverallRiskScore': '0'}]",[20051],20051,True,True,True,True,True
DEU_Bremen-7_23_T-1,30306,"[{'ObstacleID': '30306', 'OverallRiskScore': '0'}]",[30306],30306,True,True,True,True,True
ESP_Ceuta-5_2_T-1,325,"[{'ObstacleID': '325', 'OverallRiskScore': '0'}]",[325],325,True,True,True,True,True
GRC_NeaSmyrni-154_1_T-2,20066,"[{'ObstacleID': '20066', 'OverallRiskScore': '0'}]",[20066],20066,True,True,True,True,True
BEL_Antwerp-13_5_T-1,30674,"[{'ObstacleID': '30674', 'OverallRiskScore': '0'}]",[30674],30674,True,True,True,True,True
GRC_NeaSmyrni-117_1_T-6,20039,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],20039,True,True,True,True,True
ESP_Barcelona-44_27_T-1,30760,"[{'ObstacleID': '30760', 'OverallRiskScore': '0'}]",[30760],30760,True,True,True,True,True
CHN_Qingdao-18_2_T-1,30655,"[{'ObstacleID': '30655', 'OverallRiskScore': '0'}]",[30655],30655,True,True,True,True,True
