# False Positive Analysis Summary for Normal Scenarios

## Dataset Statistics
Total scenarios processed: 103
Scenarios with JSON format: 103 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## False Positive Statistics
Total false positive collision obstacles identified: 0
Total false positive extreme risk obstacles identified: 18
Total false positive predicted collision obstacles identified: 0

Scenarios with false positive collision obstacles: 0 (0.00%)
Scenarios with false positive extreme risk obstacle: 18 (17.48%)
Scenarios with false positive predicted collision: 0 (0.00%)
Scenarios with any false positive identification: 18 (17.48%)

## JSON Format Performance
JSON format scenarios: 103
JSON format scenarios with false positives: 18 (17.48%)
JSON format scenarios with collision obstacles: 0 (0.00%)
JSON format scenarios with extreme risk obstacle: 18 (17.48%)
JSON format scenarios with predicted collision: 0 (0.00%)

## Missing Scenarios
- BEL_Brussels-65_6_T-1


## Scenarios with False Positive Collision Obstacles

## Scenarios with False Positive Extreme Risk Obstacle
- ARG_Carcarana-4_4_T-1: Extreme Risk ID: {'ObstacleID': '3244', 'OverallRiskScore': 1}
- BEL_Aarschot-1_1_T-1: Extreme Risk ID: {'ObstacleID': '326', 'OverallRiskScore': 1}
- BEL_Antwerp-59_1_T-1: Extreme Risk ID: {'ObstacleID': '30503', 'OverallRiskScore': 1}
- BEL_Brussels-11_18_T-1: Extreme Risk ID: {'ObstacleID': '30261', 'OverallRiskScore': 1}
- BEL_Brussels-65_11_T-1: Extreme Risk ID: {'ObstacleID': '30220', 'OverallRiskScore': 1}
- BEL_Brussels-6_6_T-1: Extreme Risk ID: {'ObstacleID': '30095.0', 'OverallRiskScore': 1}
- BEL_Brussels-78_3_T-1: Extreme Risk ID: {'ObstacleID': '30218.0', 'OverallRiskScore': 1}
- BEL_Brussels-82_1_T-1: Extreme Risk ID: {'ObstacleID': '30235', 'OverallRiskScore': 1}
- BEL_Leuven-24_42_T-1: Extreme Risk ID: {'ObstacleID': '30242', 'OverallRiskScore': 1}
- BEL_Leuven-48_2_T-1: Extreme Risk ID: {'ObstacleID': '30118.0', 'OverallRiskScore': 1}
- BEL_Leuven-48_3_T-1: Extreme Risk ID: {'ObstacleID': '30118.0', 'OverallRiskScore': 1}
- BEL_Nivelles-18_2_T-1: Extreme Risk ID: {'ObstacleID': '319.0', 'OverallRiskScore': 1}
- BEL_Nivelles-9_1_T-1: Extreme Risk ID: {'ObstacleID': '336.0', 'OverallRiskScore': 1}
- BEL_Putte-7_3_T-1: Extreme Risk ID: {'ObstacleID': '32', 'OverallRiskScore': 1}
- BEL_Zwevegem-6_3_T-1: Extreme Risk ID: {'ObstacleID': '391', 'OverallRiskScore': 1}
- CHN_Qingdao-13_7_T-1: Extreme Risk ID: {'ObstacleID': '30618', 'OverallRiskScore': 1}
- CHN_Qingdao-7_20_T-1: Extreme Risk ID: {'ObstacleID': '30674.0', 'OverallRiskScore': 1}
- CHN_Qingdao-8_1_T-1: Extreme Risk ID: {'ObstacleID': '30611.0', 'OverallRiskScore': 1}

## Scenarios with False Positive Predicted Collision
