# Obstacle Identification Analysis Summary

## Dataset Statistics
Total scenarios in annotations: 104
Scenarios processed: 101
Scenarios with JSON format: 101 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## Identification Accuracy
Correctly identified as ONLY collision obstacle: 0 (0.00%)
Correctly identified as extreme risk obstacle: 0 (0.00%)
Correctly identified as predicted collision obstacle: 0 (0.00%)
Correctly identified as either collision, extreme risk, or predicted collision obstacle: 0 (0.00%)

## Detailed Analysis
Scenarios where annotated obstacle is the ONLY collision ID: 0 (0.00%)
Scenarios where annotated obstacle is in collision IDs (may be multiple): 0 (0.00%)
Scenarios where annotated obstacle is the extreme risk obstacle: 0 (0.00%)
Scenarios where annotated obstacle is the predicted collision obstacle: 0 (0.00%)
Scenarios where annotated obstacle is either the ONLY collision ID, the extreme risk obstacle, or the predicted collision obstacle: 0 (0.00%)

## JSON Format Performance
JSON format scenarios: 101
Correctly identified in JSON format: 0 (0.00%)

## Missing Scenarios
- BEL_Brussels-50_20_T-1
- BEL_Brussels-65_6_T-1
- DEU_Arnstadt-11_1_T-2


## Scenarios with Annotated Obstacle as ONLY Collision ID

## Scenarios with Annotated Obstacle in Multiple Collision IDs

## Scenarios with Annotated Obstacle as Extreme Risk

## Scenarios with Annotated Obstacle as Predicted Collision

## Scenarios with Incorrect Obstacle Identification
- BEL_Aarschot-1_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-8_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-40_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-24_19_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Arnstadt-46_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-24_42_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-62_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-11_18_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-38_5_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Nivelles-3_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-46_10_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-38_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-15_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Arnstadt-96_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-41_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Beijing-13_20_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-18_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-43_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-8_10_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-5_7_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Antwerp-8_7_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Zwevegem-2_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-75_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-14_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-65_11_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-6_6_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID 30095, Predicted Collision ID None
- BEL_Nivelles-18_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Zaventem-1_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- ARG_Carcarana-12_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- CHN_Qingdao-13_7_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-14_6_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-41_5_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Nivelles-9_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-50_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-68_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Beijing-13_13_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-80_24_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- CHN_Beijing-13_21_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Antwerp-1_14_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-14_29_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-48_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Arnstadt-3_1_T-3: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-12_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-34_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-18_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-33_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-6_15_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Putte-7_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Putte-5_7_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-12_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-33_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-79_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-3_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-6_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-30_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Beijing-13_8_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-7_16_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-48_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-12_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-11_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-80_13_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-19_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-48_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-5_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-14_12_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Beijing-6_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Arnstadt-83_1_T-4: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- CHN_Qingdao-7_20_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-7_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-11_23_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-44_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Zwevegem-6_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-59_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Aschaffenburg-16_6_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Zwevegem-8_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
