# False Positive Analysis Summary for Normal Scenarios

## Dataset Statistics
Total scenarios processed: 103
Scenarios with JSON format: 103 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## False Positive Statistics
Total false positive collision obstacles identified: 0
Total false positive extreme risk obstacles identified: 25
Total false positive predicted collision obstacles identified: 0

Scenarios with false positive collision obstacles: 0 (0.00%)
Scenarios with false positive extreme risk obstacle: 25 (24.27%)
Scenarios with false positive predicted collision: 0 (0.00%)
Scenarios with any false positive identification: 25 (24.27%)

## JSON Format Performance
JSON format scenarios: 103
JSON format scenarios with false positives: 25 (24.27%)
JSON format scenarios with collision obstacles: 0 (0.00%)
JSON format scenarios with extreme risk obstacle: 25 (24.27%)
JSON format scenarios with predicted collision: 0 (0.00%)

## Missing Scenarios
- BEL_Brussels-65_6_T-1


## Scenarios with False Positive Collision Obstacles

## Scenarios with False Positive Extreme Risk Obstacle
- BEL_Aarschot-1_1_T-1: Extreme Risk ID: {'ObstacleID': '32', 'OverallRiskScore': 1}
- BEL_Antwerp-30_1_T-1: Extreme Risk ID: {'ObstacleID': '30640', 'OverallRiskScore': 1}
- BEL_Brussels-11_23_T-1: Extreme Risk ID: {'ObstacleID': '30260', 'OverallRiskScore': 1}
- BEL_Brussels-40_4_T-1: Extreme Risk ID: {'ObstacleID': '30199', 'OverallRiskScore': 1}
- BEL_Brussels-41_5_T-1: Extreme Risk ID: {'ObstacleID': '30173', 'OverallRiskScore': 1}
- BEL_Brussels-50_20_T-1: Extreme Risk ID: {'ObstacleID': '30213', 'OverallRiskScore': 1}
- BEL_Leuven-18_4_T-1: Extreme Risk ID: {'ObstacleID': '30241', 'OverallRiskScore': 2}
- BEL_Leuven-24_19_T-1: Extreme Risk ID: [{'ObstacleID': '30221', 'OverallRiskScore': 1}, {'ObstacleID': '30229', 'OverallRiskScore': 1}]
- BEL_Leuven-24_42_T-1: Extreme Risk ID: {'ObstacleID': '30249', 'OverallRiskScore': 1}
- BEL_Leuven-6_15_T-1: Extreme Risk ID: {'ObstacleID': '30261', 'OverallRiskScore': 1}
- BEL_Putte-5_7_T-1: Extreme Risk ID: {'ObstacleID': '30', 'OverallRiskScore': 1}
- BEL_Putte-7_3_T-1: Extreme Risk ID: {'ObstacleID': '32', 'OverallRiskScore': 1}
- BEL_Zaventem-1_2_T-1: Extreme Risk ID: {'ObstacleID': '335', 'OverallRiskScore': 1}
- BEL_Zwevegem-6_3_T-1: Extreme Risk ID: {'ObstacleID': '375', 'OverallRiskScore': 1}
- CHN_Beijing-13_13_T-1: Extreme Risk ID: {'ObstacleID': '3052', 'OverallRiskScore': 1}
- CHN_Beijing-18_4_T-1: Extreme Risk ID: {'ObstacleID': '3046', 'OverallRiskScore': 1}
- CHN_Beijing-6_9_T-1: Extreme Risk ID: {'ObstacleID': '3098', 'OverallRiskScore': 2}
- CHN_Qingdao-13_7_T-1: Extreme Risk ID: {'ObstacleID': '30619', 'OverallRiskScore': 1}
- CHN_Qingdao-14_12_T-1: Extreme Risk ID: {'ObstacleID': '30647', 'OverallRiskScore': 1}
- CHN_Qingdao-14_28_T-1: Extreme Risk ID: {'ObstacleID': '30659', 'OverallRiskScore': 1}
- CHN_Qingdao-38_3_T-1: Extreme Risk ID: {'ObstacleID': '30669', 'OverallRiskScore': 2}
- CHN_Qingdao-6_4_T-1: Extreme Risk ID: {'ObstacleID': '30686', 'OverallRiskScore': 2}
- CHN_Qingdao-8_10_T-1: Extreme Risk ID: {'ObstacleID': '30619', 'OverallRiskScore': 1}
- DEU_Arnstadt-96_1_T-1: Extreme Risk ID: {'ObstacleID': '20042', 'OverallRiskScore': 1}
- DEU_Aschaffenburg-16_5_T-1: Extreme Risk ID: {'ObstacleID': '30370', 'OverallRiskScore': 1}

## Scenarios with False Positive Predicted Collision
