Scenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,PredictedCollisionObstacle,HasCollisionObstacles,HasExtremeRiskObstacle,HasPredictedCollisionObstacle,NumCollisionObstacles,IncorrectIdentification,JsonFormat
ARG_Carcarana-12_1_T-1,[],[],,,False,False,False,0,False,True
ARG_Carcarana-4_4_T-1,[],[],,,False,False,False,0,False,True
BEL_Aarschot-1_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-14_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-14_6_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-18_4_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-1_14_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-1_9_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-30_1_T-1,[],[],"{'ObstacleID': '30638', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Antwerp-3_11_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-3_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-40_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-40_6_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-41_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-44_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-48_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-50_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-59_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-5_13_T-1,[],[],,,False,False,False,0,False,True
BEL_Antwerp-8_7_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-11_18_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-11_23_T-1,[],[],"{'ObstacleID': '30260', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Brussels-29_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-38_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-38_5_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-3_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-40_4_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-41_5_T-1,[],[],"{'ObstacleID': '30173', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Brussels-50_20_T-1,[],[],"{'ObstacleID': '30215', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Brussels-52_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-62_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-65_11_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-68_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-6_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-6_6_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-75_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-78_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-79_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-80_13_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-80_24_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-82_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Brussels-82_5_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-12_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-18_4_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-19_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-24_13_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-24_19_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-24_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-24_42_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-34_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-39_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-39_7_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-43_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-46_10_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-48_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-48_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-5_7_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-5_9_T-1,[],[],,,False,False,False,0,False,True
BEL_Leuven-6_15_T-1,[],[],,,False,False,False,0,False,True
BEL_Nivelles-18_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Nivelles-3_2_T-1,[],[],,,False,False,False,0,False,True
BEL_Nivelles-9_1_T-1,[],[],,,False,False,False,0,False,True
BEL_Putte-5_7_T-1,[],[],"{'ObstacleID': '30', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Putte-7_3_T-1,[],[],,,False,False,False,0,False,True
BEL_Zaventem-1_2_T-1,[],[],"{'ObstacleID': '335', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Zwevegem-2_2_T-1,[],[],"{'ObstacleID': '33', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Zwevegem-6_3_T-1,[],[],"{'ObstacleID': '375', 'OverallRiskScore': 1}",,False,True,False,0,True,True
BEL_Zwevegem-8_4_T-1,[],[],,,False,False,False,0,False,True
CHN_Beijing-13_13_T-1,[],[],"{'ObstacleID': '3052', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Beijing-13_20_T-1,[],[],,,False,False,False,0,False,True
CHN_Beijing-13_21_T-1,[],[],,,False,False,False,0,False,True
CHN_Beijing-13_8_T-1,[],[],,,False,False,False,0,False,True
CHN_Beijing-18_4_T-1,[],[],"{'ObstacleID': '3046', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Beijing-6_9_T-1,[],[],"{'ObstacleID': '3098', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Qingdao-11_3_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-12_1_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-12_4_T-1,[],[],"{'ObstacleID': '30740', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Qingdao-12_9_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-13_7_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-14_12_T-1,[],[],"{'ObstacleID': '30647', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Qingdao-14_28_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-14_29_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-15_2_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-33_4_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-33_9_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-38_3_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-6_4_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-6_6_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-7_16_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-7_20_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-7_4_T-1,[],[],,,False,False,False,0,False,True
CHN_Qingdao-8_10_T-1,[],[],"{'ObstacleID': '30619', 'OverallRiskScore': 1}",,False,True,False,0,True,True
CHN_Qingdao-8_1_T-1,[],[],,,False,False,False,0,False,True
DEU_A99-1_2_T-1,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-11_1_T-2,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-20_1_T-1,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-3_1_T-3,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-46_1_T-1,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-83_1_T-4,[],[],,,False,False,False,0,False,True
DEU_Arnstadt-96_1_T-1,[],[],"{'ObstacleID': '20042', 'OverallRiskScore': 1}",,False,True,False,0,True,True
DEU_Aschaffenburg-16_5_T-1,[],[],,,False,False,False,0,False,True
DEU_Aschaffenburg-16_6_T-1,[],[],,,False,False,False,0,False,True
DEU_Aschaffenburg-7_9_T-1,[],[],,,False,False,False,0,False,True
