Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,JsonFormat
ARG_Carcarana-1_8_T-1,341,[],[],341,False,False,True,True,True
BEL_Antwerp-10_7_T-1,30736,[],[],30736,False,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,[],[],"[{'ObstacleID': '30674', 'OverallRiskScore': '1'}, {'ObstacleID': '30678', 'OverallRiskScore': '1'}]",False,False,False,False,True
BEL_Brussels-51_2_T-1,30196,[],[],30196,False,False,True,True,True
BEL_Brussels-82_4_T-1,30233,[],[],30233,False,False,True,True,True
BEL_Zwevegem-1_6_T-1,333,[],[],333,False,False,True,True,True
CHN_Beijing-3_5_T-1,3107,[],[],3107,False,False,True,True,True
CHN_Qingdao-18_2_T-1,30655,"[{'ObstacleID': '30655', 'OverallRiskScore': '0'}]",[30655],,True,True,False,True,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],30426,False,False,False,False,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': '30281', 'OverallRiskScore': '0'}]",[30281],30285,False,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],30195,False,False,True,True,True
DEU_Backnang-2_1_T-1,33,[],[],33,False,False,True,True,True
DEU_Bonn-19_2_T-1,30202,[],[],30202,False,False,True,True,True
DEU_Bonn-35_11_T-1,30200,"[{'ObstacleID': '30200', 'OverallRiskScore': '0'}]",[30200],,True,True,False,True,True
DEU_Bonn-38_18_T-1,30234,"[{'ObstacleID': ['30230', '30232'], 'OverallRiskScore': '0'}]","[['30230', '30232']]",30227,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,[],[],30228,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,"[{'ObstacleID': '30294', 'OverallRiskScore': '0'}, {'ObstacleID': '30295', 'OverallRiskScore': '0'}, {'ObstacleID': '30308', 'OverallRiskScore': '0'}]","[30294, 30295, 30308]",[],True,False,False,False,True
DEU_Bremen-33_33_T-1,30274,[],[],30267,False,False,False,False,True
DEU_Bremen-7_12_T-1,30299,[],[],30299,False,False,True,True,True
DEU_Bremen-7_23_T-1,30306,[],[],30306,False,False,True,True,True
DEU_Flensburg-62_1_T-1,367,[],[],367,False,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,[],[],33,False,False,True,True,True
DEU_Hanover-38_33_T-1,30688,[],[],30688,False,False,True,True,True
DEU_Hanover-44_28_T-1,30730,"[{'ObstacleID': '30730', 'OverallRiskScore': '0'}]",[30730],,True,True,False,True,True
DEU_Hanover-45_17_T-1,30700,[],[],30700,False,False,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,[],[],342,False,False,True,True,True
DEU_Kiel-52_2_T-1,30666,"[{'ObstacleID': '30666', 'OverallRiskScore': '0'}]",[30666],30667,True,True,False,True,True
DEU_Leipzig-13_19_T-1,3254,[],[],3243,False,False,False,False,True
DEU_Leipzig-13_7_T-1,3254,[],[],3254,False,False,True,True,True
DEU_Leipzig-37_8_T-1,3074,[],[],,False,False,False,False,True
DEU_Leipzig-63_24_T-1,3261,[],[],3261,False,False,True,True,True
DEU_Lengede-44_1_T-6,109,[],[],109,False,False,True,True,True
DEU_Memmingen-138_1_T-4,20036,"[{'ObstacleID': '20036', 'OverallRiskScore': '0'}]",[20036],,True,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,[],[],20052,False,False,True,True,True
DEU_Muehlhausen-10_5_T-1,315,[],[],315,False,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,[],[],330,False,False,True,True,True
DEU_Nuremberg-24_13_T-1,30716,[],[],30716,False,False,True,True,True
DEU_Nuremberg-27_1_T-1,30628,"[{'ObstacleID': '30625', 'OverallRiskScore': '0'}]",[30625],30628,False,False,True,True,True
DEU_Nuremberg-29_9_T-1,30786,[],[],30786,False,False,True,True,True
DEU_Nuremberg-30_6_T-1,30604,"[{'ObstacleID': '30603', 'OverallRiskScore': '0'}]",[30603],30604,False,False,True,True,True
DEU_Nuremberg-6_21_T-1,30803,[],[],30803,False,False,True,True,True
DEU_Nuremberg-6_34_T-1,30796,[],[],,False,False,False,False,True
DEU_Salzwedel-74_1_T-4,20071,[],[],20071,False,False,True,True,True
DEU_Salzwedel-80_1_T-2,20029,[],[],20029,False,False,True,True,True
DEU_Schopfloch-6_1_T-2,20057,[],[],20057,False,False,True,True,True
DEU_Schweitenkirchen-4_1_T-12,426,[],[],221,False,False,False,False,True
DEU_Schweitenkirchen-5_1_T-36,625,"[{'ObstacleID': ['60', '542'], 'OverallRiskScore': '0'}]","[['60', '542']]",625,False,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,[],[],20130,False,False,True,True,True
DEU_Schwetzingen-112_1_T-1,20046,"[{'ObstacleID': '20045', 'OverallRiskScore': '0'}]",[20045],20046,False,False,True,True,True
DEU_Schwetzingen-174_1_T-4,20111,[],[],20111,False,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,"[{'ObstacleID': ['20080', '20094'], 'OverallRiskScore': '1'}]","[['20080', '20094']]",20020,False,False,False,False,True
DEU_Schwetzingen-74_1_T-4,20064,[],[],20064,False,False,True,True,True
DEU_Weimar-57_1_T-1,17,"[{'ObstacleID': '31', 'OverallRiskScore': '0'}]",[31],17,False,False,True,True,True
DEU_Weimar-68_1_T-3,60,[],[],60,False,False,True,True,True
DEU_Wolfsburg-39_1_T-8,20148,[],[],20148,False,False,True,True,True
ESP_Barcelona-10_44_T-1,30749,[],[],"[{'ObstacleID': '30735', 'OverallRiskScore': '1'}, {'ObstacleID': '30749', 'OverallRiskScore': '1'}, {'ObstacleID': '30759', 'OverallRiskScore': '1'}]",False,False,False,False,True
ESP_Barcelona-12_43_T-1,30716,[],[],30716,False,False,True,True,True
ESP_Barcelona-21_6_T-1,30681,[],[],30681,False,False,True,True,True
ESP_Barcelona-38_52_T-1,30739,[],[],30734,False,False,False,False,True
ESP_Barcelona-39_11_T-1,30813,[],[],30813,False,False,True,True,True
ESP_Barcelona-39_27_T-1,30810,[],[],30805,False,False,False,False,True
ESP_Barcelona-3_13_T-1,30764,[],[],30764,False,False,True,True,True
ESP_Barcelona-3_6_T-1,30764,[],[],"[{'ObstacleID': '30762', 'OverallRiskScore': '1'}, {'ObstacleID': '30764', 'OverallRiskScore': '1'}, {'ObstacleID': '30765', 'OverallRiskScore': '1'}]",False,False,False,False,True
ESP_Barcelona-44_19_T-1,30743,"[{'ObstacleID': '30750', 'OverallRiskScore': '0'}]",[30750],30743,False,False,True,True,True
ESP_Barcelona-44_27_T-1,30760,[],[],30743,False,False,False,False,True
ESP_Barcelona-49_21_T-1,30784,[],[],30784,False,False,True,True,True
ESP_Barcelona-6_18_T-1,30746,[],[],30746,False,False,True,True,True
ESP_Bilbao-13_20_T-1,30801,[],[],30801,False,False,True,True,True
ESP_Bilbao-23_16_T-1,30921,"[{'ObstacleID': '30921', 'OverallRiskScore': '0'}]",[30921],30922,True,True,False,True,True
ESP_Bilbao-6_9_T-1,30693,[],[],30693,False,False,True,True,True
ESP_Ceuta-5_2_T-1,325,"[{'ObstacleID': '325', 'OverallRiskScore': '0'}]",[325],31,True,True,False,True,True
ESP_Vigo-63_4_T-1,3044,[],[],3044,False,False,True,True,True
