Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
ARG_Carcarana-1_8_T-1,341,False,[],[],357,False,False,False,False,False,True
BEL_Antwerp-10_7_T-1,30736,True,"[{'ObstacleID': '30736', 'OverallRiskScore': '0'}]",[30736],,True,True,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,True,"[{'ObstacleID': '30674', 'OverallRiskScore': '0'}]",[30674],30676,True,True,False,True,True,True
BEL_Brussels-51_2_T-1,30196,True,"[{'ObstacleID': '30196', 'OverallRiskScore': '0'}]",[30196],30196,True,True,True,True,True,True
BEL_Brussels-82_4_T-1,30233,False,[],[],30233,False,False,True,True,False,True
BEL_Zwevegem-1_6_T-1,333,True,"[{'ObstacleID': '333', 'OverallRiskScore': '0'}]",[333],,True,True,False,True,True,True
CHN_Beijing-3_5_T-1,3107,True,"[{'ObstacleID': '3107', 'OverallRiskScore': '0'}]",[3107],3107,True,True,True,True,True,True
CHN_Qingdao-18_2_T-1,30655,True,"[{'ObstacleID': '30655', 'OverallRiskScore': '0'}]",[30655],,True,True,False,True,True,True
DEU_Aschaffenburg-15_26_T-1,30441,False,[],[],30441,False,False,True,True,False,True
DEU_Aschaffenburg-21_21_T-1,30285,True,"[{'ObstacleID': '30281', 'OverallRiskScore': '0'}]",[30281],30285,False,False,True,True,False,True
DEU_Aschaffenburg-64_5_T-1,30195,True,"[{'ObstacleID': '30195', 'OverallRiskScore': '0'}]",[30195],30187,True,True,False,True,True,True
DEU_Backnang-2_1_T-1,33,True,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],,True,True,False,True,True,True
DEU_Bonn-19_2_T-1,30202,True,"[{'ObstacleID': '30202', 'OverallRiskScore': '0'}]",[30202],,True,True,False,True,True,True
DEU_Bonn-35_11_T-1,30200,True,"[{'ObstacleID': '30200', 'OverallRiskScore': '0'}]",[30200],,True,True,False,True,True,True
DEU_Bonn-38_18_T-1,30234,True,"[{'ObstacleID': '30234', 'OverallRiskScore': '0'}]",[30234],30230,True,True,False,True,True,True
DEU_Bonn-38_4_T-1,30234,True,"[{'ObstacleID': '30232', 'OverallRiskScore': '0'}]",[30232],,False,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,True,"[{'ObstacleID': '30308', 'OverallRiskScore': '0'}]",[30308],30295,False,False,True,True,False,True
DEU_Bremen-33_33_T-1,30274,False,[],[],30267,False,False,False,False,False,True
DEU_Bremen-7_12_T-1,30299,False,[],[],30299,False,False,True,True,False,True
DEU_Bremen-7_23_T-1,30306,False,[],[],30306,False,False,True,True,False,True
DEU_Flensburg-62_1_T-1,367,True,"[{'ObstacleID': '367', 'OverallRiskScore': '0'}]",[367],,True,True,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,True,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],348,True,True,False,True,True,True
DEU_Hanover-38_33_T-1,30688,True,"[{'ObstacleID': '30704', 'OverallRiskScore': '0'}]",[30704],30688,False,False,True,True,False,True
DEU_Hanover-44_28_T-1,30730,False,[],[],"['30730', '30733']",False,False,False,False,False,True
DEU_Hanover-45_17_T-1,30700,True,"[{'ObstacleID': '30700', 'OverallRiskScore': '1'}]",[30700],30700,True,True,True,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,True,"[{'ObstacleID': '30', 'OverallRiskScore': '0'}]",[30],31,False,False,False,False,False,True
DEU_Kiel-52_2_T-1,30666,True,"[{'ObstacleID': '30666', 'OverallRiskScore': '0'}]",[30666],,True,True,False,True,True,True
DEU_Leipzig-13_19_T-1,3254,True,"[{'ObstacleID': ['3243', '3249'], 'OverallRiskScore': '0'}]","[['3243', '3249']]",3254,False,False,True,True,False,True
DEU_Leipzig-13_7_T-1,3254,True,"[{'ObstacleID': '3254', 'OverallRiskScore': '0'}]",[3254],3261,True,True,False,True,True,True
DEU_Leipzig-37_8_T-1,3074,True,"[{'ObstacleID': '3074', 'OverallRiskScore': '0'}]",[3074],3071,True,True,False,True,True,True
DEU_Leipzig-63_24_T-1,3261,True,"[{'ObstacleID': '3261', 'OverallRiskScore': '0'}]",[3261],3265,True,True,False,True,True,True
DEU_Lengede-44_1_T-6,109,True,"[{'ObstacleID': '41', 'OverallRiskScore': '0'}]",[41],109,False,False,True,True,False,True
DEU_Memmingen-138_1_T-4,20036,True,"[{'ObstacleID': '20036', 'OverallRiskScore': '0'}]",[20036],,True,True,False,True,True,True
DEU_Memmingen-1_1_T-5,20052,True,"[{'ObstacleID': '20052', 'OverallRiskScore': '0'}]",[20052],,True,True,False,True,True,True
DEU_Muehlhausen-10_5_T-1,315,True,"[{'ObstacleID': '315', 'OverallRiskScore': '0'}]",[315],,True,True,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,True,"[{'ObstacleID': '330', 'OverallRiskScore': '0'}]",[330],,True,True,False,True,True,True
DEU_Nuremberg-24_13_T-1,30716,True,"[{'ObstacleID': '30716', 'OverallRiskScore': '0'}]",[30716],,True,True,False,True,True,True
DEU_Nuremberg-27_1_T-1,30628,False,[],[],30625,False,False,False,False,False,True
DEU_Nuremberg-29_9_T-1,30786,True,"[{'ObstacleID': '30786', 'OverallRiskScore': '0'}]",[30786],30786,True,True,True,True,True,True
