Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
ARG_Carcarana-1_8_T-1,341,True,"[{'ObstacleID': '341', 'OverallRiskScore': '0'}]",[341],,True,True,False,True,True,True
BEL_Antwerp-10_7_T-1,30736,True,"[{'ObstacleID': '30736', 'OverallRiskScore': '0'}]",[30736],{},True,True,False,True,True,True
BEL_Antwerp-13_5_T-1,30674,True,"[{'ObstacleID': '30674', 'OverallRiskScore': '0'}]",[30674],,True,True,False,True,True,True
BEL_Brussels-51_2_T-1,30196,True,[],[],30196,False,False,True,True,False,True
BEL_Brussels-82_4_T-1,30233,True,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],30233,False,False,True,True,False,True
BEL_Zwevegem-1_6_T-1,333,True,"[{'ObstacleID': '333', 'OverallRiskScore': '0'}]",[333],,True,True,False,True,True,True
CHN_Beijing-3_5_T-1,3107,True,"[{'ObstacleID': '3107', 'OverallRiskScore': '0'}]",[3107],,True,True,False,True,True,True
CHN_Qingdao-18_2_T-1,30655,True,"[{'ObstacleID': '30655', 'OverallRiskScore': '0'}]",[30655],,True,True,False,True,True,True
DEU_Aschaffenburg-21_21_T-1,30285,True,"[{'ObstacleID': '30285', 'OverallRiskScore': '1'}]",[30285],,True,True,False,True,True,True
DEU_Aschaffenburg-64_5_T-1,30195,True,"[{'ObstacleID': '30195', 'OverallRiskScore': '0'}]",[30195],30187,True,True,False,True,True,True
DEU_Backnang-2_1_T-1,33,True,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],None,True,True,False,True,True,True
DEU_Bonn-35_11_T-1,30200,True,"[{'ObstacleID': '30200', 'OverallRiskScore': '0'}]",[30200],None,True,True,False,True,True,True
DEU_Bonn-38_18_T-1,30234,True,"[{'ObstacleID': '30234', 'OverallRiskScore': '0'}]",[30234],30227,True,True,False,True,True,True
DEU_Bonn-38_4_T-1,30234,True,"[{'ObstacleID': '30228', 'OverallRiskScore': '0'}]",[30228],30233,False,False,False,False,False,True
DEU_Bremen-1_10_T-1,30295,True,"[{'ObstacleID': '30308', 'OverallRiskScore': '0'}]",[30308],,False,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,True,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],30274,False,False,True,True,False,True
DEU_Bremen-7_12_T-1,30299,True,[{'ObstacleID': None}],[None],30299,False,False,True,True,False,True
DEU_Bremen-7_23_T-1,30306,True,"[{'ObstacleID': '30306', 'OverallRiskScore': '1'}]",[30306],30306,True,True,True,True,True,True
DEU_Flensburg-62_1_T-1,367,True,"[{'ObstacleID': '367', 'OverallRiskScore': '0'}]",[367],None,True,True,False,True,True,True
DEU_Guetersloh-32_1_T-1,33,True,"[{'ObstacleID': '33', 'OverallRiskScore': '0'}]",[33],33,True,True,True,True,True,True
DEU_Hanover-38_33_T-1,30688,True,"[{'ObstacleID': '30688', 'OverallRiskScore': '0'}]",[30688],30688,True,True,True,True,True,True
DEU_Hanover-44_28_T-1,30730,True,"[{'ObstacleID': '30730', 'OverallRiskScore': '0'}]",[30730],30730,True,True,True,True,True,True
DEU_Hanover-45_17_T-1,30700,True,"[{'ObstacleID': '30700', 'OverallRiskScore': '0'}]",[30700],N/A,True,True,False,True,True,True
DEU_Hennigsdorf-5_3_T-1,342,True,"[{'ObstacleID': '342', 'OverallRiskScore': '0'}]",[342],,True,True,False,True,True,True
DEU_Kiel-52_2_T-1,30666,True,[],[],30666,False,False,True,True,False,True
DEU_Leipzig-13_19_T-1,3254,True,"[{'ObstacleID': '3254', 'OverallRiskScore': '0'}]",[3254],N/A,True,True,False,True,True,True
DEU_Leipzig-13_7_T-1,3254,True,"[{'ObstacleID': '3254', 'OverallRiskScore': '0'}]",[3254],None,True,True,False,True,True,True
DEU_Leipzig-37_8_T-1,3074,True,"[{'ObstacleID': '3074', 'OverallRiskScore': '0'}]",[3074],,True,True,False,True,True,True
DEU_Leipzig-63_24_T-1,3261,True,"[{'ObstacleID': '3261', 'OverallRiskScore': '0'}]",[3261],,True,True,False,True,True,True
DEU_Memmingen-138_1_T-4,20036,True,"[{'ObstacleID': '20036', 'OverallRiskScore': '0'}]",[20036],None,True,True,False,True,True,True
DEU_Memmingen-1_1_T-5,20052,True,"[{'ObstacleID': '20052', 'OverallRiskScore': '0'}]",[20052],None,True,True,False,True,True,True
DEU_Muehlhausen-10_5_T-1,315,True,"[{'ObstacleID': '315', 'OverallRiskScore': '0'}]",[315],,True,True,False,True,True,True
DEU_Muehlhausen-5_1_T-1,330,True,"[{'ObstacleID': '330', 'OverallRiskScore': '0'}]",[330],,True,True,False,True,True,True
DEU_Nuremberg-24_13_T-1,30716,True,"[{'ObstacleID': '30716', 'OverallRiskScore': '1'}]",[30716],30716,True,True,True,True,True,True
DEU_Nuremberg-29_9_T-1,30786,True,"[{'ObstacleID': '30786', 'OverallRiskScore': '0'}]",[30786],None,True,True,False,True,True,True
DEU_Nuremberg-30_6_T-1,30604,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
DEU_Nuremberg-6_21_T-1,30803,True,"[{'ObstacleID': '30803', 'OverallRiskScore': '0'}]",[30803],30803,True,True,True,True,True,True
DEU_Nuremberg-6_34_T-1,30796,True,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],30796,False,False,True,True,False,True
