# Discrepancy Analysis Summary

## Dataset Statistics
Total scenarios in annotations: 104
Scenarios processed: 101 
Collision scenarios (model prediction): 18 (17.82%) 19/103
Extreme risk scenarios (model prediction): 81 (80.20%)
Scenarios with JSON format: 101 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## Identification Accuracy
Correctly identified as ONLY collision: 0 (0.00%)
Correctly identified as extreme risk: 0 (0.00%)
Correctly identified as either collision or extreme risk: 0 (0.00%)

## Detailed Analysis
Scenarios where annotated obstacle is the ONLY collision ID: 0 (0.00%)
Scenarios where annotated obstacle is in collision IDs (may be multiple): 0 (0.00%)
Scenarios where annotated obstacle is the extreme risk obstacle: 0 (0.00%)
Scenarios where annotated obstacle is either the ONLY collision ID or is the extreme risk obstacle: 0 (0.00%)

## JSON Format Performance
JSON format scenarios: 101
Correctly identified in JSON format: 0 (0.00%)

## Missing Scenarios
- BEL_Brussels-65_6_T-1 
- BEL_Leuven-12_2_T-1 false
- BEL_Nivelles-9_1_T-1 true

## Scenarios with Correct Collision Identification (Only One Collision ID)

## Scenarios with Annotated Obstacle as ONLY Collision ID

## Scenarios with Annotated Obstacle in Multiple Collision IDs

## Scenarios with Annotated Obstacle as Extreme Risk

## Scenarios with Incorrect Collision Identification
- BEL_Aarschot-1_1_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Antwerp-30_1_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Brussels-11_23_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Brussels-40_4_T-1: Annotated ID none, Collision IDs [{'ObstacleID': '30201', 'OverallRiskScore': '0'}]
- BEL_Brussels-41_5_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Leuven-19_1_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Leuven-5_7_T-1: Annotated ID none, Collision IDs [{'ObstacleID': None, 'OverallRiskScore': None}]
- BEL_Zaventem-1_2_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Zwevegem-6_3_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- BEL_Zwevegem-8_4_T-1: Annotated ID none, Collision IDs [{'ObstacleID': '312', 'OverallRiskScore': '0'}]
- CHN_Beijing-13_13_T-1: Annotated ID none, Collision IDs [{'ObstacleID': '3052', 'OverallRiskScore': '0'}]
- CHN_Beijing-6_9_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- CHN_Qingdao-12_4_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]
- CHN_Qingdao-14_12_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]
- CHN_Qingdao-14_28_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]
- CHN_Qingdao-8_10_T-1: Annotated ID none, Collision IDs [{'ObstacleID': None, 'OverallRiskScore': None}]
- DEU_Arnstadt-3_1_T-3: Annotated ID none, Collision IDs [{'ObstacleID': None, 'OverallRiskScore': None}]
- DEU_Aschaffenburg-16_5_T-1: Annotated ID none, Collision IDs [{'ObstacleID': 'None', 'OverallRiskScore': '0'}]

## Scenarios with Missed Collision Identification

## Scenarios without JSON Format
